beta;algorithm;update;query;radius;ratio;memory
0.5;CHEN;8667.64;21509266192;1815.24551;1;10000
1;CHEN;7112.875;20288640639;1815.24551;1;10000
1.5;CHEN;6615.67;19889230621;1815.24551;1;10000
2;CHEN;9870.76;19866749295;1815.24551;1;10000
2.5;CHEN;6748.695;20117667629;1815.24551;1;10000
3;CHEN;6546.735;19786457478;1815.24551;1;10000
3.5;CHEN;6871.31;19779826012;1815.24551;1;10000
4;CHEN;4998.63;19565898432;1815.24551;1;10000
5;CHEN;6088.535;19969692208;1815.24551;1;10000
10;CHEN;6475.125;19498337951;1815.24551;1;10000
15;CHEN;5382.355;19706905060;1815.24551;1;10000
20;CHEN;6197.495;18809061612;1815.24551;1;10000
30;CHEN;8283.44;19410716779;1815.24551;1;10000
40;CHEN;5990.335;19166846421;1815.24551;1;10000
50;CHEN;5628.625;19134440081;1815.24551;1;10000
70;CHEN;6165.43;18976119662;1815.24551;1;10000
100;CHEN;5521.76;19122890223;1815.24551;1;10000
200;CHEN;5639.73;18174317639;1815.24551;1;10000
500;CHEN;5573.685;18327758620;1815.24551;1;10000
1000;CHEN;9031.785;19241359021;1815.24551;1;10000
0.5;PELLCAPP;7179361.47;19849023584;1833.145418;1.013094921;102252.595
1;PELLCAPP;5436616.88;19227159465;1821.032997;1.00492705;70998.425
1.5;PELLCAPP;3686119.78;19131302191;1824.934811;1.006965534;52451.29
2;PELLCAPP;3895869.105;19118642516;1872.336237;1.034091275;44455.875
2.5;PELLCAPP;3505392.925;18956802765;1821.306497;1.005083721;43700.065
3;PELLCAPP;3894766.075;19051527381;1815.24551;1;50903.415
3.5;PELLCAPP;2965138.51;19096788910;1815.616735;1.000223245;40646.25
4;PELLCAPP;1958805.655;19161573116;1824.934811;1.006965534;34311.045
5;PELLCAPP;2522819.98;19278920995;1815.24551;1;42719.025
10;PELLCAPP;2372879.635;19151828043;1815.24551;1;39606.8
15;PELLCAPP;1494535.85;19038378622;1815.24551;1;31018.61
20;PELLCAPP;1252812.18;18296243663;1816.047827;1.000513412;22631.43
