beta;algorithm;update;query;radius;ratio;memory
0.5;CHEN;5250.78;15193747003;6.912918993;1;10000
1;CHEN;5505.85;15245757395;6.912918993;1;10000
1.5;CHEN;3701.83;14780468776;6.912918993;1;10000
2;CHEN;5344.615;15857026663;6.912918993;1;10000
2.5;CHEN;4073.745;14794892446;6.912918993;1;10000
3;CHEN;3580.065;15046330278;6.912918993;1;10000
3.5;CHEN;4078.09;14742323237;6.912918993;1;10000
4;CHEN;3939.21;14934888351;6.912918993;1;10000
5;CHEN;3421.1;14967981408;6.912918993;1;10000
10;CHEN;3614.675;15301444426;6.912918993;1;10000
15;CHEN;3394.18;14971118695;6.912918993;1;10000
20;CHEN;3278.425;15212064516;6.912918993;1;10000
30;CHEN;3357.835;15290723916;6.912918993;1;10000
40;CHEN;3911.555;14848521758;6.912918993;1;10000
50;CHEN;3067.07;15345983914;6.912918993;1;10000
70;CHEN;3251.48;15021553735;6.912918993;1;10000
100;CHEN;3244.355;15015537642;6.912918993;1;10000
200;CHEN;4049.325;15355978362;6.912918993;1;10000
500;CHEN;3603.245;15073495846;6.912918993;1;10000
1000;CHEN;3541.06;14992347067;6.912918993;1;10000
0.5;PELLCAPP;1092322.89;5174175340;7.11579732;1.043531174;43344.155
1;PELLCAPP;714825.055;11634608196;7.212520613;1.056201194;28507.04
1.5;PELLCAPP;667613.25;9037134398;6.86343825;1.005604379;24400.45
2;PELLCAPP;828837.615;6533492336;7.111590402;1.040550854;31702.505
2.5;PELLCAPP;757425.805;14727035749;7.176306526;1.054678949;29931.075
3;PELLCAPP;961404.56;14670652696;7.176306526;1.054678949;27884.2
3.5;PELLCAPP;658168.91;14658780993;7.176306526;1.054678949;26382.595
4;PELLCAPP;456518.635;14804560479;7.176306526;1.054678949;25343.485
5;PELLCAPP;595257.93;14880802385;7.176306526;1.054678949;23809.4
10;PELLCAPP;344572.575;14879704073;7.176306526;1.054678949;21237.185
15;PELLCAPP;330717.495;14797385931;7.176306526;1.054678949;20586.055
20;PELLCAPP;391734.35;14822891515;7.176306526;1.054678949;20400.03
30;PELLCAPP;328312.675;14828804673;7.176306526;1.054678949;20253.925
40;PELLCAPP;427769.57;14661106214;7.176306526;1.054678949;20206.235
50;PELLCAPP;426717.815;14646523069;7.176306526;1.054678949;20179.055
70;PELLCAPP;360271.28;14889385584;7.176306526;1.054678949;20155.85
100;PELLCAPP;710309.77;14700484790;7.176306526;1.054678949;20142.92
200;PELLCAPP;504141.14;14602363605;7.176306526;1.054678949;20117
500;PELLCAPP;509205.19;14756828143;7.176306526;1.054678949;20112
1000;PELLCAPP;384736.135;14659989889;7.176306526;1.054678949;20112
0.5;PELLCAPPDELTA05;128644.285;7711754.93;6.138843435;0.899893307;4115.64
1;PELLCAPPDELTA05;89332.635;16128793.47;6.489779714;0.951269968;1882.575
1.5;PELLCAPPDELTA05;68558.26;3845375.935;8.636531996;1.266930812;1620.305
2;PELLCAPPDELTA05;55599.88;1662079.19;6.165686795;0.903658059;1553.265
2.5;PELLCAPPDELTA05;57412.71;29921637.21;6.38166703;0.935348268;1218.435
3;PELLCAPPDELTA05;76093.915;16318153.29;6.489779714;0.951269968;998.13
3.5;PELLCAPPDELTA05;49246.265;9784729.25;6.264746767;0.918019302;861.98
4;PELLCAPPDELTA05;45298.275;7733413.705;6.135325763;0.89940177;809.56
5;PELLCAPPDELTA05;50629;4346405.155;6.83537606;1.000247658;709.125
10;PELLCAPPDELTA05;39665.24;914423.295;5.313716231;0.779060642;497.44
15;PELLCAPPDELTA05;38233.475;454577.18;8.566607146;1.257216384;463.115
20;PELLCAPPDELTA05;39447.545;316582.935;5.908113516;0.865981479;452.21
30;PELLCAPPDELTA05;38154.925;236267.56;10.88345343;1.601146518;440.085
40;PELLCAPPDELTA05;43856.7;199531.77;9.807166223;1.437589994;435.145
50;PELLCAPPDELTA05;41169.27;175588.74;10.10366353;1.480434958;423.18
70;PELLCAPPDELTA05;39445.42;98569.235;13.58251613;1.992943365;418.18
100;PELLCAPPDELTA05;56326.045;103415.75;13.58251613;1.992943365;418.18
200;PELLCAPPDELTA05;38803.81;99837.955;13.58251613;1.992943365;418.18
500;PELLCAPPDELTA05;44073.78;100916.45;13.58251613;1.992943365;418.18
1000;PELLCAPPDELTA05;37018.74;98218.065;13.58251613;1.992943365;418.18
0.5;PELLCAPPDELTA10;62230.405;1163047.265;5.795500478;0.84882312;1525.15
1;PELLCAPPDELTA10;38878.955;2049898.735;6.082998203;0.891621071;798.04
1.5;PELLCAPPDELTA10;30506.795;551826.61;6.008718594;0.881649713;666.585
2;PELLCAPPDELTA10;35262.44;438950.975;7.125476812;1.04565827;600.23
2.5;PELLCAPPDELTA10;26328.065;2338202.945;6.294308204;0.922344659;507.21
3;PELLCAPPDELTA10;25858.535;2056499.62;6.082998203;0.891621071;461.565
3.5;PELLCAPPDELTA10;23857.65;1665954.555;6.165686795;0.903658059;445.085
