beta;algorithm;update;query;radius;ratio;memory
0.5;CHEN;6385.2;21778798567;1.729321956;1;10000
1;CHEN;7871.1;21431419436;1.729321956;1;10000
1.5;CHEN;8039.19;21406499139;1.729321956;1;10000
2;CHEN;11075.12;20500798836;1.729321956;1;10000
2.5;CHEN;8039.525;21378503468;1.729321956;1;10000
3;CHEN;6966.355;21290836888;1.729321956;1;10000
3.5;CHEN;7540.6;21538991554;1.729321956;1;10000
4;CHEN;6106.79;21477477294;1.729321956;1;10000
5;CHEN;6235.185;21401981021;1.729321956;1;10000
10;CHEN;7437.42;21359586849;1.729321956;1;10000
15;CHEN;6518.2;21020133437;1.729321956;1;10000
20;CHEN;6923.51;20946161999;1.729321956;1;10000
30;CHEN;6457.88;21061583426;1.729321956;1;10000
40;CHEN;8775.365;20831267242;1.729321956;1;10000
50;CHEN;5713.965;20830476174;1.729321956;1;10000
70;CHEN;7402.03;20844181369;1.729321956;1;10000
100;CHEN;7240.14;20773935708;1.729321956;1;10000
200;CHEN;7047.14;20703238048;1.729321956;1;10000
500;CHEN;7855.2;20843811216;1.729321956;1;10000
1000;CHEN;7944.565;20689263208;1.729321956;1;10000
0.5;PELLCAPP;5878815.675;19846259371;1.729850247;1.001145962;94284.23
1;PELLCAPP;5165883.12;19856982606;1.725633079;0.998695242;67495.26
1.5;PELLCAPP;4443708.675;19924832318;1.727262549;0.999356168;58255.89
2;PELLCAPP;4799705.275;19835049001;1.729554154;1.000144402;53564.47
2.5;PELLCAPP;3782965.77;19849461699;1.729333638;1.000011477;51255.265
3;PELLCAPP;5466691.26;19867700560;1.729321956;1;49318.91
3.5;PELLCAPP;2761857.74;20026490354;1.729321956;1;47940.02
4;PELLCAPP;2866143.96;20006797710;1.729321956;1;46360.285
5;PELLCAPP;2793281.59;20066579952;1.729321956;1;44268.785
10;PELLCAPP;2321722.195;19965050736;1.729321956;1;40923.51
15;PELLCAPP;2364141.525;19483899584;1.729321956;1;40119.005
20;PELLCAPP;2601742.13;19531504605;1.729321956;1;39872.49
30;PELLCAPP;2723089.15;19532770052;1.729321956;1;39278.235
40;PELLCAPP;3244794.31;19353235172;1.729321956;1;39221.385
50;PELLCAPP;2686797.915;19440356315;1.729321956;1;39221.385
70;PELLCAPP;4224409.365;19370152658;1.729321956;1;39221.385
100;PELLCAPP;4181198.965;19361157104;1.729321956;1;39221.385
200;PELLCAPP;4392554.9;19336554266;1.729321956;1;39190.045
500;PELLCAPP;2813087.505;19346732847;1.729321956;1;39190.045
1000;PELLCAPP;3075111.46;19309143465;1.729321956;1;39190.045
0.5;PELLCAPPDELTA05;717284.575;11532569419;1.70184716;0.986414708;19832.235
1;PELLCAPPDELTA05;644286.76;11479169500;1.70184716;0.986414708;13930.09
1.5;PELLCAPPDELTA05;577236.26;11486633841;1.70184716;0.986414708;12116.835
2;PELLCAPPDELTA05;645508.15;11331147444;1.70184716;0.986414708;11259.02
2.5;PELLCAPPDELTA05;506013.29;11468908366;1.70184716;0.986414708;10881.835
3;PELLCAPPDELTA05;678411.63;11474918672;1.70184716;0.986414708;10634.155
3.5;PELLCAPPDELTA05;384008.825;11570199195;1.70184716;0.986414708;10441.965
4;PELLCAPPDELTA05;414027.465;11532174813;1.70184716;0.986414708;10352.525
5;PELLCAPPDELTA05;393441;11596524341;1.70184716;0.986414708;10231.535
10;PELLCAPPDELTA05;332228.385;11563252620;1.70184716;0.986414708;9604.415
15;PELLCAPPDELTA05;341712.04;11233004897;1.70184716;0.986414708;9597.775
20;PELLCAPPDELTA05;362433.595;11257365642;1.70184716;0.986414708;9597.775
30;PELLCAPPDELTA05;390343.455;11284660802;1.70184716;0.986414708;9597.775
40;PELLCAPPDELTA05;452191.015;11159356798;1.70184716;0.986414708;9597.775
50;PELLCAPPDELTA05;374849.675;11219749898;1.70184716;0.986414708;9566.435
70;PELLCAPPDELTA05;595304.895;11163670942;1.70184716;0.986414708;9566.435
100;PELLCAPPDELTA05;560809.395;11157913931;1.70184716;0.986414708;9566.435
200;PELLCAPPDELTA05;609319;11146690537;1.70184716;0.986414708;9566.435
500;PELLCAPPDELTA05;403805.15;11156872895;1.70184716;0.986414708;9566.435
1000;PELLCAPPDELTA05;434944.585;11137507073;1.70184716;0.986414708;9566.435
0.5;PELLCAPPDELTA10;199500.67;1369990094;1.812808917;1.050607232;6211.89
1;PELLCAPPDELTA10;167285.05;1367023416;1.812808917;1.050607232;4517.045
1.5;PELLCAPPDELTA10;154144.905;1371087590;1.812808917;1.050607232;4095.86
2;PELLCAPPDELTA10;171917.3;1364146304;1.812808917;1.050607232;3937.67
2.5;PELLCAPPDELTA10;131550.565;1370177541;1.812808917;1.050607232;3478.895
3;PELLCAPPDELTA10;160165.855;1372678014;1.812808917;1.050607232;3406.48
3.5;PELLCAPPDELTA10;108954.56;1380999966;1.812808917;1.050607232;3368.485
4;PELLCAPPDELTA10;107013.51;1373757646;1.812808917;1.050607232;3299.515
5;PELLCAPPDELTA10;99842.38;1378116165;1.812808917;1.050607232;3276.785
10;PELLCAPPDELTA10;92122.27;1374027296;1.812808917;1.050607232;3253.47
15;PELLCAPPDELTA10;94860.6;1333332376;1.812808917;1.050607232;3246.83
20;PELLCAPPDELTA10;97066;1335430200;1.812808917;1.050607232;3246.83
30;PELLCAPPDELTA10;99424.01;1337642346;1.812808917;1.050607232;3215.49
40;PELLCAPPDELTA10;113840.855;1326794388;1.812808917;1.050607232;3215.49
50;PELLCAPPDELTA10;90586.07;1330239720;1.812808917;1.050607232;3215.49
70;PELLCAPPDELTA10;135247.715;1330541201;1.812808917;1.050607232;3215.49
100;PELLCAPPDELTA10;131597.015;1328151132;1.812808917;1.050607232;3215.49
200;PELLCAPPDELTA10;140404.36;1327971975;1.812808917;1.050607232;3215.49
500;PELLCAPPDELTA10;105314.905;1326744513;1.812808917;1.050607232;3215.49
1000;PELLCAPPDELTA10;103229.255;1322917546;1.812808917;1.050607232;3215.49
0.5;PELLCAPPDELTA15;118955.41;340604367.5;1.744256808;1.010968394;3142.685
1;PELLCAPPDELTA15;96890.505;338968323.9;1.744256808;1.010968394;2515.005
1.5;PELLCAPPDELTA15;83855.37;338062819.5;1.744256808;1.010968394;1932.72
2;PELLCAPPDELTA15;105682.565;336104163.5;1.744256808;1.010968394;2019.84
2.5;PELLCAPPDELTA15;76647.965;337969680.9;1.744256808;1.010968394;1808.79
3;PELLCAPPDELTA15;81165.815;338068093.7;1.744256808;1.010968394;1770.39
3.5;PELLCAPPDELTA15;69991.47;338672488.1;1.744256808;1.010968394;1759.45
4;PELLCAPPDELTA15;71559.655;337700252.5;1.744256808;1.010968394;1751.88
5;PELLCAPPDELTA15;58368.875;340595613.9;1.744256808;1.010968394;1729.255
10;PELLCAPPDELTA15;54986.185;338724643.9;1.744256808;1.010968394;1705.94
15;PELLCAPPDELTA15;58185.305;329240858.8;1.744256808;1.010968394;1667.96
20;PELLCAPPDELTA15;57694.3;328847664;1.744256808;1.010968394;1667.96
30;PELLCAPPDELTA15;58020.395;329818779.3;1.744256808;1.010968394;1667.96
40;PELLCAPPDELTA15;66102.855;328345983.6;1.744256808;1.010968394;1667.96
50;PELLCAPPDELTA15;56269.04;328689135.2;1.744256808;1.010968394;1667.96
70;PELLCAPPDELTA15;63197.18;327676412.7;1.744256808;1.010968394;1667.96
100;PELLCAPPDELTA15;66984.675;328435108.2;1.744256808;1.010968394;1667.96
200;PELLCAPPDELTA15;67778.57;327302948.9;1.744256808;1.010968394;1667.96
500;PELLCAPPDELTA15;65383.64;327541208.5;1.744256808;1.010968394;1667.96
1000;PELLCAPPDELTA15;58677.53;325957925.2;1.744256808;1.010968394;1667.96
0.5;PELLCAPPDELTA20;100249.41;139617305.5;1.753148969;1.015994167;2266.815
1;PELLCAPPDELTA20;74305.495;138047295.3;1.753148969;1.015994167;1446.625
1.5;PELLCAPPDELTA20;65568.535;136673155.9;1.753148969;1.015994167;1293.6
2;PELLCAPPDELTA20;86934.31;136988044.9;1.753148969;1.015994167;1267.845
2.5;PELLCAPPDELTA20;59508.705;136662168.6;1.753148969;1.015994167;1228.74
3;PELLCAPPDELTA20;58382.595;136417151.8;1.753148969;1.015994167;1222.445
3.5;PELLCAPPDELTA20;55251.28;137250424.6;1.753148969;1.015994167;1211.62
4;PELLCAPPDELTA20;56801.545;137017164;1.753148969;1.015994167;1203.94
5;PELLCAPPDELTA20;47649.205;139158769.9;1.753148969;1.015994167;1181.315
10;PELLCAPPDELTA20;46126.855;138073014.9;1.753148969;1.015994167;1158.205
15;PELLCAPPDELTA20;44034.615;134492352.8;1.753148969;1.015994167;1120.225
20;PELLCAPPDELTA20;45365.07;134061289.2;1.753148969;1.015994167;1120.225
30;PELLCAPPDELTA20;47688.58;134772047.1;1.753148969;1.015994167;1120.225
40;PELLCAPPDELTA20;49965.06;133905658.4;1.753148969;1.015994167;1120.225
50;PELLCAPPDELTA20;46052.625;134236313.6;1.753148969;1.015994167;1120.225
70;PELLCAPPDELTA20;53296.355;132932442.1;1.753148969;1.015994167;1120.225
100;PELLCAPPDELTA20;49196.46;133203738.8;1.753148969;1.015994167;1120.225
200;PELLCAPPDELTA20;47221.435;132450154.5;1.753148969;1.015994167;1120.225
500;PELLCAPPDELTA20;51497.105;133619253;1.753148969;1.015994167;1120.225
1000;PELLCAPPDELTA20;45217.265;132888361;1.753148969;1.015994167;1120.225
