dimension;algorithm;update;query;radius;ratio;memory
5;CHEN;11170.185;15911172745;14.15535382;1;10000
10;CHEN;10458.085;16150779580;16.63565845;1;10000
15;CHEN;10553.76;17502872757;18.0588148;1;10000
20;CHEN;8686.505;17468507191;20.44704064;1;10000
25;CHEN;7554.085;16834427728;22.0250046;1;10000
30;CHEN;8610.19;17011642359;23.16891742;1;10000
35;CHEN;7888.765;17526117607;24.56256606;1;10000
40;CHEN;8072.13;18151701079;25.54958795;1;10000
45;CHEN;9018.31;18431779038;28.19001437;1;10000
50;CHEN;7796.43;19037447816;27.51919913;1;10000
5;PELLCAPP;2419707.065;15645039558;14.15535382;1;65406.565
10;PELLCAPP;3667501.6;15923715345;16.63565845;1;74988.845
15;PELLCAPP;5581849.23;16265398308;18.0588148;1;81008.695
20;PELLCAPP;3751813.36;16346523653;20.44704064;1;67249.145
25;PELLCAPP;3672815.725;16563498906;22.0250046;1;65982.395
30;PELLCAPP;2861474.345;16905560084;23.16891742;1;69989.63
35;PELLCAPP;3024044.34;17190469205;24.56256606;1;72056.05
40;PELLCAPP;3706514.425;17816518952;25.54958795;1;73546.785
45;PELLCAPP;4368970.93;17898648049;28.19001437;1;75163.31
50;PELLCAPP;5104783.215;18861968903;27.51919913;1;77277.07
5;PELLCAPPDELTA05;527279.08;15417454903;12.13240217;0.86141072;19578.915
10;PELLCAPPDELTA05;1569289.19;15924598858;16.64770062;1.000745434;32509.21
15;PELLCAPPDELTA05;2363972;16256128366;17.96326697;0.994959667;36473.895
20;PELLCAPPDELTA05;1446356.9;16483167997;19.06497974;0.93305108;24896.145
25;PELLCAPPDELTA05;1703803.525;16564444930;22.02198982;0.999880969;22351.26
30;PELLCAPPDELTA05;1346351.075;16892322909;23.16891742;1;22511.055
35;PELLCAPPDELTA05;1451250.94;17168895744;24.56256606;1;23057.445
40;PELLCAPPDELTA05;1769770.53;17780736298;25.54958795;1;24580.8
45;PELLCAPPDELTA05;1925731.09;17876442552;28.19001437;1;26822.11
50;PELLCAPPDELTA05;2425375.71;18841554217;27.51919913;1;30120.72
5;PELLCAPPDELTA10;173783.19;11456170541;13.01576064;0.922815721;10959.575
10;PELLCAPPDELTA10;781321.815;15782714252;15.32102521;0.923278344;17312.53
15;PELLCAPPDELTA10;1590907.095;15040144197;17.85445674;0.989433129;23159.985
20;PELLCAPPDELTA10;401234.22;3975059587;20.05544438;0.981738692;11178.455
25;PELLCAPPDELTA10;251592.01;13869107725;21.62236161;0.982581232;12014.585
30;PELLCAPPDELTA10;311834.75;15737946027;22.44902238;0.969388116;13130.855
35;PELLCAPPDELTA10;534926.815;16958446212;22.68957121;0.924200545;14846.95
40;PELLCAPPDELTA10;1016672.085;17495978538;24.96040529;0.977007782;17384.135
45;PELLCAPPDELTA10;1583485.68;18072668617;26.7651809;0.951430665;19712.405
50;PELLCAPPDELTA10;2030652.525;18853219017;27.29076658;0.99220017;21000.585
5;PELLCAPPDELTA15;100886.58;2250802221;13.79114349;0.977462289;5639.98
10;PELLCAPPDELTA15;289843.015;14594264203;15.22740381;0.917600535;12559.665
15;PELLCAPPDELTA15;804033.09;14968381321;17.06225563;0.946384655;16470.895
20;PELLCAPPDELTA15;292270.28;40844499.22;20.42593501;1.000024576;5900.575
25;PELLCAPPDELTA15;119623.745;49368865.16;21.29898163;0.968352483;2399.26
30;PELLCAPPDELTA15;91213.425;94804589.15;22.27710495;0.961868305;2508.055
35;PELLCAPPDELTA15;88155.765;288306272.8;24.56284524;1.000478714;3054.445
40;PELLCAPPDELTA15;100600.575;1302985499;25.29261669;0.991293315;4577.8
45;PELLCAPPDELTA15;137158.23;4220103838;26.76165273;0.951930249;6819.11
50;PELLCAPPDELTA15;198418.48;11717199070;27.51884906;1.000951902;10117.72
5;PELLCAPPDELTA20;72470.86;323437560.5;13.54958378;0.960250021;2876.78
10;PELLCAPPDELTA20;123691.915;5892498210;16.30217175;0.982845926;8181.165
15;PELLCAPPDELTA20;254084.7;13879121913;17.53589431;0.97279783;12574.595
20;PELLCAPPDELTA20;145336.795;38723191.7;20.42593501;1.000024576;4882.21
25;PELLCAPPDELTA20;68451.47;38143956.93;21.29898163;0.968352483;2022.505
30;PELLCAPPDELTA20;67727.17;42796183.14;22.27980902;0.961981445;1862.115
35;PELLCAPPDELTA20;69345.995;45381403.16;25.07445898;1.021555855;1865.1
40;PELLCAPPDELTA20;67333.235;49816616.99;24.74893607;0.969721738;1871.625
45;PELLCAPPDELTA20;69331.905;49859271.66;26.40521969;0.939062507;1929.005
50;PELLCAPPDELTA20;81741.725;59991008.87;27.48293956;0.99969934;2124.535
