k;algorithm;update;query;radius;ratio;memory
7;CHEN;6904.445;20365379765;2575.508639;1;10000
14;CHEN;9870.76;19866749295;1815.24551;1;10000
35;CHEN;8047.885;20165371331;1262.88965;1;10000
70;CHEN;7737.01;20593708686;970.4142852;1;10000
105;CHEN;8914.2;20013080419;837.138001;1;10000
140;CHEN;10425.325;20999979322;749.6684196;1;10000
175;CHEN;12095.63;21817064606;697.456655;1;10000
350;CHEN;12340.64;24485384442;583.5080873;1;10000
700;CHEN;13311.105;28438767910;519.4791925;1;10000
7;PELLCAPP;3126150.84;18771629938;2581.439799;1.009741804;39726.535
14;PELLCAPP;3895869.105;19118642516;1872.336237;1.034091275;44455.875
35;PELLCAPP;4481986.69;18968840442;1262.88965;1;66532.445
70;PELLCAPP;4903337.945;19369048214;970.4142852;1;69391.865
105;PELLCAPP;5273313.12;19573076790;837.138001;1;71538.43
140;PELLCAPP;5622004.85;20059341279;749.6684196;1;73638.825
175;PELLCAPP;5118823.83;20696805560;697.456655;1;75949.935
350;PELLCAPP;9533285.65;22961239326;583.5080873;1;99139.35
700;PELLCAPP;20068699.55;25367217081;519.4791925;1;109346.355
7;PELLCAPPDELTA05;120972.605;467637132.4;2870.123592;1.123497697;2254.44
14;PELLCAPPDELTA05;393114.165;1369606475;1786.241817;0.987750721;5751.845
35;PELLCAPPDELTA05;1362662.265;17510726091;1264.679171;1.005411934;21434.725
70;PELLCAPPDELTA05;1631357.865;18964121870;998.5781419;1.032006939;25886.04
105;PELLCAPPDELTA05;1865058.46;19478699848;869.0724013;1.041181536;28273.93
140;PELLCAPPDELTA05;2179057.605;19978012370;770.129163;1.029105209;30120.615
175;PELLCAPPDELTA05;2279611.72;20624849157;725.3581621;1.042176729;32248.515
350;PELLCAPPDELTA05;6469913.625;22958871677;585.0027736;1.003216451;54584.55
700;PELLCAPPDELTA05;16403397.17;25419530943;522.9571615;1.006732367;64179.57
7;PELLCAPPDELTA10;48354.965;19568862.63;2614.706005;1.025523085;656.365
14;PELLCAPPDELTA10;163040.045;63300425.64;1836.448492;1.015566244;2530.545
35;PELLCAPPDELTA10;354048.275;15444254918;1296.105936;1.030473076;12168.875
70;PELLCAPPDELTA10;562675.445;17112522802;992.7156251;1.02686026;14699.005
105;PELLCAPPDELTA10;806613.53;18259879829;916.3567063;1.097558355;17145.69
140;PELLCAPPDELTA10;1130856.83;19031235482;805.5807806;1.075664106;19447.03
175;PELLCAPPDELTA10;1419781.325;20095362465;731.1334934;1.050700845;21786.345
350;PELLCAPPDELTA10;5260943.565;22913309150;571.9241771;0.981604444;42899.315
700;PELLCAPPDELTA10;14996393.47;25319992128;514.9950742;0.991689333;51824.135
7;PELLCAPPDELTA15;36047.455;3967332.22;2392.624193;0.937846266;402.285
14;PELLCAPPDELTA15;98566.84;11647661.29;1793.084166;0.992080754;1818.485
35;PELLCAPPDELTA15;173088.095;6171656368;1400.846004;1.114668726;7349.9
70;PELLCAPPDELTA15;361930.57;13765791940;1032.403462;1.06674049;11549.675
105;PELLCAPPDELTA15;598980.49;16607637938;881.5845353;1.055095158;13826.525
140;PELLCAPPDELTA15;908839.435;17264342273;810.4697644;1.083131581;15604.465
175;PELLCAPPDELTA15;1218898.455;18696532201;757.6297321;1.087909211;17598.63
350;PELLCAPPDELTA15;4448960.365;22709528993;595.4842621;1.022430154;35193.295
700;PELLCAPPDELTA15;13939780.37;25345077023;521.5291314;1.004382399;44785.02
7;PELLCAPPDELTA20;31676.76;2142786.145;2808.803279;1.100903631;328.42
14;PELLCAPPDELTA20;76476.015;5899688.95;1881.691523;1.041977894;1475.22
35;PELLCAPPDELTA20;116705.51;1730314155;1271.884973;1.011104112;4284.725
70;PELLCAPPDELTA20;296621.275;5541797853;1017.090189;1.051345665;7826.215
105;PELLCAPPDELTA20;532843.6;9747736685;874.4820619;1.047090515;10789.14
140;PELLCAPPDELTA20;815462.895;13463402467;794.0452792;1.060709104;13380.73
175;PELLCAPPDELTA20;1111980.895;16919145084;716.1866948;1.028752462;15773.555
350;PELLCAPPDELTA20;3914654.58;22271800595;629.3015173;1.080296479;30949.59
700;PELLCAPPDELTA20;13250907.69;25371135621;522.5381023;1.00666465;39521.115
