k;algorithm;update;query;radius;ratio;memory
7;CHEN;6133.72;18989027304;1.960179741;1;10000
14;CHEN;11075.12;20500798836;1.729321956;1;10000
35;CHEN;6320.35;21260370552;1.588315782;1;10000
70;CHEN;7924.28;21949348448;1.436621725;1;10000
105;CHEN;7929.165;22933833229;1.048025975;1;10000
140;CHEN;8931.305;23333774502;0.884897983;1;10000
175;CHEN;10908.15;24568417102;0.823864149;1;10000
350;CHEN;11644.535;23638565075;0.683451297;1;10000
700;CHEN;13603.635;27367617052;0.618593532;1;10000
7;PELLCAPP;2890103.885;18589659489;1.958924164;0.999453105;51420.06
14;PELLCAPP;4799705.275;19835049001;1.729554154;1.000144402;53564.47
35;PELLCAPP;5399925.335;19708057846;1.587840347;0.999746074;56849.605
70;PELLCAPP;4769503.075;20164384750;1.435410575;0.999184196;61004.42
105;PELLCAPP;6430949.465;20854893086;1.048025975;1;65017.03
140;PELLCAPP;6598759.53;21121520152;0.884897983;1;71056.625
175;PELLCAPP;7181464.735;21960593090;0.823864149;1;84170.755
350;PELLCAPP;9330999.665;22993453773;0.683451297;1;91035.74
700;PELLCAPP;18280080.95;24778000378;0.618593532;1;101288.915
7;PELLCAPPDELTA05;468144.77;6343853544;1.849413745;0.948610758;8751.695
14;PELLCAPPDELTA05;645508.15;11331147444;1.70184716;0.986414708;11259.02
35;PELLCAPPDELTA05;746906.035;16673429199;1.603296388;1.010009456;14808.33
70;PELLCAPPDELTA05;850027.39;18682969770;1.450748501;1.010257125;18349.885
105;PELLCAPPDELTA05;1495908.525;19593619736;1.014344229;0.96875829;22009.095
140;PELLCAPPDELTA05;2312372.545;20135296397;0.916341638;1.037591219;27791.145
175;PELLCAPPDELTA05;3596447.27;21045338972;0.828157454;1.005780458;39665.1
350;PELLCAPPDELTA05;6046638.275;22924867339;0.701268671;1.026591596;47234.545
700;PELLCAPPDELTA05;15171079.48;24552957534;0.614907783;0.994475312;56876.325
7;PELLCAPPDELTA10;103826.41;509277504.5;1.915865563;0.984837769;2559.995
14;PELLCAPPDELTA10;171917.3;1364146304;1.812808917;1.050607232;3937.67
35;PELLCAPPDELTA10;237570.41;4955608988;1.587845607;1.000280271;7576.49
70;PELLCAPPDELTA10;424365.11;10689271630;1.431131186;0.99655339;12052.03
105;PELLCAPPDELTA10;866620.63;14800134804;1.066862442;1.018859065;16020.43
140;PELLCAPPDELTA10;1346872.38;17790235187;0.930882508;1.054694994;21180.455
175;PELLCAPPDELTA10;2029976.435;19166943794;0.898906026;1.09145041;30282.215
350;PELLCAPPDELTA10;4655487.535;22506730836;0.660918762;0.96762231;38775.05
700;PELLCAPPDELTA10;13797074.85;23997116217;0.620925288;1.004948867;48687.49
7;PELLCAPPDELTA15;68028.32;113077817.3;1.841534851;0.944773194;1145.35
14;PELLCAPPDELTA15;103395.725;335993640;1.744256808;1.010968394;1847.025
35;PELLCAPPDELTA15;138668.33;1446102590;1.581689061;0.996338058;3797.07
70;PELLCAPPDELTA15;302444.06;4095577023;1.438197924;1.00148542;6853.645
105;PELLCAPPDELTA15;644656.305;6855972869;1.129715943;1.079469131;9877.465
140;PELLCAPPDELTA15;1040379.46;9752874432;0.992764398;1.122926874;14129.925
175;PELLCAPPDELTA15;1419344.945;12474846219;0.89716779;1.089475219;21951.385
350;PELLCAPPDELTA15;3937470.26;22013093412;0.659067972;0.964539815;28927.995
700;PELLCAPPDELTA15;13180175.28;23661882123;0.597871774;0.968110736;38485.385
7;PELLCAPPDELTA20;54781.63;43825738.5;1.960326071;1.007438288;768.305
14;PELLCAPPDELTA20;86934.31;136988044.9;1.753148969;1.015994167;1267.845
35;PELLCAPPDELTA20;119618.715;618410355.4;1.651481924;1.040434054;2699.745
70;PELLCAPPDELTA20;246593.165;1804007876;1.444037373;1.005542329;5051.07
105;PELLCAPPDELTA20;485486.27;3215417581;1.165896082;1.113437735;7556.825
140;PELLCAPPDELTA20;835665.695;4735066434;0.947749588;1.072941919;11387.01
175;PELLCAPPDELTA20;1174754.29;6302691130;0.932782689;1.132966079;18616.47
350;PELLCAPPDELTA20;3613235.825;21835326819;0.686283255;1.004676046;25634.725
700;PELLCAPPDELTA20;12834816.87;23954928939;0.580025275;0.938606932;35655.785
