type;algorithm;update;query;radius;ratio;memory
Rand;CHEN;9870.76;19866749295;1815.24551;1;10000
Orig;CHEN;12688.46;19267935662;1857.294885;1;10000
Rand;CAPP;3787853.06;19125672272;1872.336237;1.034091275;44085.11
Orig;CAPP;4648615.87;14723985546;1849.430051;0.99674162;50879.47
Rand;REALCAPP;3871315.53;19118178672;1872.336237;1.034091275;44025.11
Orig;REALCAPP;4824456.555;14717806372;1849.430051;0.99674162;50819.47
Rand;COHCAPP;3947837.585;19119382513;1872.336237;1.034091275;44442.865
Orig;COHCAPP;4969711.26;14717189875;1849.430051;0.99674162;51249.795
Rand;PELLCAPP;3895869.105;19118642516;1872.336237;1.034091275;44455.875
Orig;PELLCAPP;4960779.8;14721223404;1849.430051;0.99674162;51254.85
Rand;CAPPDELTA05;446025.145;1368800867;1786.241817;0.987750721;5880.035
Orig;CAPPDELTA05;1095435.855;836472522.1;1939.395929;1.048455021;10445.8
Rand;REALCAPPDELTA05;406599.32;1368669145;1786.241817;0.987750721;5820.035
Orig;REALCAPPDELTA05;1012466.28;836383491.1;1939.395929;1.048455021;10385.8
Rand;COHCAPPDELTA05;390636.96;1368779791;1786.241817;0.987750721;5738.765
Orig;COHCAPPDELTA05;1066380.255;836530745.5;1939.395929;1.048455021;10432.795
Rand;PELLCAPPDELTA05;393114.165;1369606475;1786.241817;0.987750721;5751.845
Orig;PELLCAPPDELTA05;1057402.54;836613474;1939.395929;1.048455021;10437.815
Rand;CAPPDELTA10;173396.68;63433099.19;1836.448492;1.015566244;2690.075
Orig;CAPPDELTA10;297155.75;143552332.2;1849.777233;0.998200556;4916.095
Rand;REALCAPPDELTA10;161516.395;63318880.73;1836.448492;1.015566244;2630.075
Orig;REALCAPPDELTA10;284896.42;143576769.4;1849.777233;0.998200556;4856.095
Rand;COHCAPPDELTA10;164184.04;63255710.2;1836.448492;1.015566244;2517.535
Orig;COHCAPPDELTA10;286641.7;144914225.4;1764.705088;0.954271178;4868.94
Rand;PELLCAPPDELTA10;163040.045;63300425.64;1836.448492;1.015566244;2530.545
Orig;PELLCAPPDELTA10;292916.225;143625712.7;1849.777233;0.998200556;4877.04
Rand;CAPPDELTA15;102014.45;11683830.6;1793.084166;0.992080754;1978.015
Orig;CAPPDELTA15;140470.6;45806890.47;2186.378559;1.182167286;2870.12
Rand;REALCAPPDELTA15;95335.575;11639182.85;1793.084166;0.992080754;1918.015
Orig;REALCAPPDELTA15;128078.26;45818286.4;2186.378559;1.182167286;2810.12
Rand;COHCAPPDELTA15;95773;11640698.27;1793.084166;0.992080754;1805.405
Orig;COHCAPPDELTA15;138153.735;45875492.44;2186.378559;1.182167286;2827.045
Rand;PELLCAPPDELTA15;98566.84;11647661.29;1793.084166;0.992080754;1818.485
Orig;PELLCAPPDELTA15;145612.56;45898062.81;2186.378559;1.182167286;2832.065
Rand;CAPPDELTA20;79253.41;5913270.61;1881.691523;1.041977894;1634.75
Orig;CAPPDELTA20;97526.025;15567091.03;2027.544451;1.09712758;1834.01
Rand;REALCAPPDELTA20;70882.72;5878193.29;1881.691523;1.041977894;1574.75
Orig;REALCAPPDELTA20;92912.065;15540932.82;2027.544451;1.09712758;1774.01
Rand;COHCAPPDELTA20;71176.71;5890440.825;1881.691523;1.041977894;1430.87
Orig;COHCAPPDELTA20;104411.225;15558411.81;2027.544451;1.09712758;1760.875
Rand;PELLCAPPDELTA20;76476.015;5899688.95;1881.691523;1.041977894;1475.22
Orig;PELLCAPPDELTA20;108588.405;15542274.01;2027.544451;1.09712758;1795.955
Rand;CAPPVAL;49758.555;1970183.635;2178.984339;1.204635256;648.35
Orig;CAPPVAL;50092.425;1248374.27;5027.741164;2.709724296;584.75
Rand;REALCAPPVAL;42539.495;1957255.685;2178.984339;1.204635256;618.35
Orig;REALCAPPVAL;43109.795;1232708.86;5027.741164;2.709724296;554.75
Rand;COHCAPPVAL;47182.19;1958405.46;2178.984339;1.204635256;569.54
Orig;COHCAPPVAL;57079.63;1224997.04;5014.919645;2.702925677;576.73
Rand;PELLCAPPVAL;52537.135;1940635.72;2178.984339;1.204635256;609.925
Orig;PELLCAPPVAL;62758.77;1247823.38;5027.741164;2.709724296;608.52
Rand;CAPPDELTA25;55815.3;3264235.6;2096.87325;1.155145813;1293.99
Rand;CAPPDELTA30;35131.205;2442560.345;2124.655601;1.170450823;1109.285
Rand;CAPPDELTA35;35369.335;2323254.41;2116.147897;1.165764017;1049.505
Rand;CAPPDELTA40;33678.98;1857097.83;2178.984339;1.200379964;887.895
