type;algorithm;update;query;radius;ratio;memory
Rand;CHEN;16444.7;16456990388;2.018426379;1;10000
Rand;CAPP;4175275.97;16368260758;2.018426379;1;60078.905
Rand;REALCAPP;4100314.005;16330302633;2.018426379;1;60078.905
Rand;COHCAPP;5459316.09;16316880172;2.018426379;1;80748.745
Rand;PELLCAPP;5344850.515;16315812433;2.018426379;1;80779.705
Rand;CAPPDELTA05;2897773.665;16314642868;2.018426379;1;39878.88
Rand;REALCAPPDELTA05;2907294.445;16315583663;2.018426379;1;39878.88
Rand;COHCAPPDELTA05;2924332.965;16316276453;2.018426379;1;39958.86
Rand;PELLCAPPDELTA05;2999773.95;16313978278;2.018426379;1;39989.82
Rand;CAPPDELTA10;1795944.49;16310993980;2.018426379;1;22442.62
Rand;REALCAPPDELTA10;1830860.135;16315177822;2.018426379;1;22442.62
Rand;COHCAPPDELTA10;1800692.28;16312715121;2.018426379;1;22495.11
Rand;PELLCAPPDELTA10;1783265.45;16315429606;2.018426379;1;22526.01
Rand;CAPPDELTA15;1694946.26;16337238164;2.011266308;0.996823686;19903.43
Rand;REALCAPPDELTA15;1717762.96;16334323876;2.011266308;0.996823686;19903.43
Rand;COHCAPPDELTA15;1769341.485;16330826879;2.011266308;0.996823686;19955.86
Rand;PELLCAPPDELTA15;1721118.195;16328449903;2.011266308;0.996823686;19986.82
Rand;CAPPDELTA20;899385.63;16155981631;1.981839589;0.982338994;14769.14
Rand;REALCAPPDELTA20;906696.67;16155743151;1.981839589;0.982338994;14769.14
Rand;COHCAPPDELTA20;914030.44;16158771574;1.981839589;0.982338994;14794.08
Rand;PELLCAPPDELTA20;953158.97;16163110655;1.981839589;0.982338994;14852.53
Rand;CAPPVAL;42746.54;3110947.38;2.201772064;1.09131665;232.435
Rand;REALCAPPVAL;30367.445;3118939.92;2.201772064;1.09131665;232.435
Rand;COHCAPPVAL;41946.84;3096302.385;2.201772064;1.09131665;257.38
Rand;PELLCAPPVAL;50256.205;3079309.37;2.201772064;1.09131665;309.855
