wsize;algorithm;update;query;radius;ratio;memory
500;CHEN;4111.8;30640395.08;1.95167428;1;500
1000;CHEN;5389.53;131738857.2;1.984153332;1;1000
5000;CHEN;9648.11;3830676400;2.017334015;1;5000
10000;CHEN;16444.7;16456990388;2.018426379;1;10000
20000;CHEN;18075.97;77106332705;2.026249379;1;20000
30000;CHEN;18481.545;1.79956E+11;2.025915199;1;30000
500;PELLCAPP;92790.325;30815253.7;1.95167428;1;4484.23
1000;PELLCAPP;186296.665;133924179.4;1.984153332;1;8582.055
5000;PELLCAPP;1621015.27;3724636694;2.017334015;1;40705.185
10000;PELLCAPP;5344850.515;16315812433;2.018426379;1;80779.705
20000;PELLCAPP;12359446.24;68547811818;2.026249379;1;160923.095
30000;PELLCAPP;19192396.87;1.60901E+11;2.025915199;1;239150.255
500;PELLCAPPDELTA05;58391.035;30805863.88;1.95167428;1;2217.94
1000;PELLCAPPDELTA05;102093.92;134464762.9;1.984153332;1;4230.965
5000;PELLCAPPDELTA05;915472.29;3719520814;2.017334015;1;20177.205
10000;PELLCAPPDELTA05;2999773.95;16313978278;2.018426379;1;39989.82
20000;PELLCAPPDELTA05;6488854.21;68457176413;2.026249379;1;79419.81
30000;PELLCAPPDELTA05;10316569.38;1.61092E+11;1.990534827;0.98297234;116574.845
500;PELLCAPPDELTA10;44254.865;30810578.32;1.95167428;1;1710.94
1000;PELLCAPPDELTA10;146581.725;133891490.4;1.984153332;1;3123.36
5000;PELLCAPPDELTA10;514678.68;3719828846;2.017334015;1;12155.605
10000;PELLCAPPDELTA10;1783265.45;16315429606;2.018426379;1;22526.01
20000;PELLCAPPDELTA10;3926571.995;68454007262;2.026249379;1;43001.065
30000;PELLCAPPDELTA10;6349404.7;1382656914;2.097597285;1.03587325;61668.195
40000;PELLCAPPDELTA10;2287633.065;1681034445;2.116277934;1;35085.62
50000;PELLCAPPDELTA10;4035633.485;1858347301;2.096553213;1;54523.18
60000;PELLCAPPDELTA10;4091813.305;2136018711;2.106011615;1;58181.85
70000;PELLCAPPDELTA10;1408880.745;2334184786;2.095019362;1;26517.21
80000;PELLCAPPDELTA10;2041795.04;2573907476;2.121780367;1;31894.35
90000;PELLCAPPDELTA10;2477303.825;2686624676;2.145375465;1;35943.58
100000;PELLCAPPDELTA10;3058835.93;2791506835;2.098822342;1;43645.64
200000;PELLCAPPDELTA10;3537099.575;3933702875;2.140394205;1;42849.635
500000;PELLCAPPDELTA10;6190348.765;6043241795;2.135030624;1;65920.795
500;PELLCAPPDELTA15;37138.5;30720659.1;1.95167428;1;1214.94
1000;PELLCAPPDELTA15;73361.615;133946660.7;1.984153332;1;2227.965
5000;PELLCAPPDELTA15;480645.09;3726643855;2.004435632;0.99414544;10174.205
10000;PELLCAPPDELTA15;1721118.195;16328449903;2.011266308;0.996823686;19986.82
20000;PELLCAPPDELTA15;3522412.33;68581753275;2.009987895;0.992444225;39416.81
30000;PELLCAPPDELTA15;5658590.06;610637.255;2.232706204;1.10263552;56589.845
40000;PELLCAPPDELTA15;1818642.525;1102271.46;2.25081669;1.064410782;29945.105
50000;PELLCAPPDELTA15;3013721.055;1128608.475;2.279898481;1.087991875;48522.995
60000;PELLCAPPDELTA15;3341601.23;1046269.525;2.303504858;1.094125137;51724.215
70000;PELLCAPPDELTA15;1267545.85;892323.05;2.395094931;1.143895616;21513.89
80000;PELLCAPPDELTA15;1648421.045;909338.77;2.266934953;1.068920841;26908.825
90000;PELLCAPPDELTA15;1968044.79;901745.025;2.303280466;1.073902107;30566.63
100000;PELLCAPPDELTA15;2503072.945;961172.815;2.23366617;1.064627028;37920.465
200000;PELLCAPPDELTA15;3029632.455;911577.515;2.315905852;1.082038879;36302.02
500000;PELLCAPPDELTA15;5450073.195;1117214.26;2.240207911;1.049710566;57433.825
500;PELLCAPPDELTA20;35493.175;31024663.96;1.923808625;0.986968138;1140.595
1000;PELLCAPPDELTA20;56270.52;134050346.8;1.947340256;0.982790163;2029.42
5000;PELLCAPPDELTA20;338499.77;3753436488;1.999974135;0.992040846;8140.54
10000;PELLCAPPDELTA20;953158.97;16163110655;1.981839589;0.982338994;14852.53
20000;PELLCAPPDELTA20;1485089.33;67014657907;1.981770836;0.978563405;27124.12
30000;PELLCAPPDELTA20;1916618.155;256912.35;2.519882167;1.244724244;37187.25
40000;PELLCAPPDELTA20;526379.435;562776.02;2.503527322;1.184149126;19658.515
50000;PELLCAPPDELTA20;954270.405;490043.96;2.537948927;1.211606699;32280.955
60000;PELLCAPPDELTA20;1066569.255;522496.485;2.40618263;1.142981825;34400.905
70000;PELLCAPPDELTA20;400596.215;464979.455;2.545599955;1.215813319;14860.615
80000;PELLCAPPDELTA20;587192.95;428129.13;2.662095291;1.255197951;19045.45
90000;PELLCAPPDELTA20;609782.575;515404.265;2.586425428;1.205732648;20676.205
100000;PELLCAPPDELTA20;955876.035;533416.195;2.547327828;1.214145951;25842.67
