dataset;algorithm;update;query;radius;ratio;memory;dimensions;type;delta;wsize;beta;k
blobs;JONES;6071.635;177899351.9;12.98204904;1;10000;2;Rand;0.0;10000;2.0;21
blobs;CHEN;5959.87;15509316784;11.36613465;0.876410551;10000;2;Rand;0.0;10000;2.0;21
blobs;PELLCAPPDELTA05;124804.63;26428867.36;12.902971;0.995035647;7549.705;2;Rand;0.5;10000;2.0;21
blobs;CAPPDELTA05;75438.255;26299103.41;12.902971;0.995035647;7522.45;2;Rand;0.5;10000;2.0;21
blobs;PELLCAPPDELTA20;48713.49;2416729.065;12.10333818;0.933009949;1694.4;2;Rand;2.0;10000;2.0;21
blobs;CAPPDELTA20;36411.39;2429970.705;12.10333818;0.933009949;1711.82;2;Rand;2.0;10000;2.0;21
blobs;JONES;6624.58;989621876.1;13.40757177;1;20000;2;Rand;0.0;20000;2.0;21
blobs;CHEN;4763.49;68680179230;11.67135919;0.87159527;20000;2;Rand;0.0;20000;2.0;21
blobs;PELLCAPPDELTA05;171037.35;37788487.22;13.60126811;1.015549722;8762.805;2;Rand;0.5;20000;2.0;21
blobs;CAPPDELTA05;76972.175;37695573.97;13.60126811;1.015549722;8768.77;2;Rand;0.5;20000;2.0;21
blobs;PELLCAPPDELTA20;49307.105;2359959.835;12.08094878;0.902080462;1709.64;2;Rand;2.0;20000;2.0;21
blobs;CAPPDELTA20;38388.93;2307574.33;12.08094878;0.902080462;1760.195;2;Rand;2.0;20000;2.0;21
blobs;JONES;17029.95;1239202446;13.64313878;1.136928231;30000;2;Rand;0.0;30000;2.0;21
blobs;CHEN;13045.94;1.55936E+11;12.04364806;1.003637338;30000;2;Rand;0.0;30000;2.0;21
blobs;PELLCAPPDELTA05;2033087.565;1239840585;13.4377792;1.119814933;86092.59;2;Rand;0.5;30000;2.0;21
blobs;CAPPDELTA05;1506027.045;1239012917;13.4377792;1.119814933;85418.83;2;Rand;0.5;30000;2.0;21
blobs;PELLCAPPDELTA20;135254.925;44210205.37;14.37989991;1.198324992;9577.145;2;Rand;2.0;30000;2.0;21
blobs;CAPPDELTA20;104278.88;44202621.35;14.37989991;1.198324992;9549.97;2;Rand;2.0;30000;2.0;21
blobs;JONES;5446.68;151428718.5;14.59424026;1;10000;3;Rand;0.0;10000;2.0;21
blobs;CHEN;3357.915;15420276877;13.12206645;0.899416015;10000;3;Rand;0.0;10000;2.0;21
blobs;PELLCAPPDELTA05;143997.62;75670589.43;14.54300598;0.996907122;12716.85;3;Rand;0.5;10000;2.0;21
blobs;CAPPDELTA05;118251.525;75481065.27;14.54300598;0.996907122;12571.945;3;Rand;0.5;10000;2.0;21
blobs;PELLCAPPDELTA20;37670.255;2731990.365;13.97053635;0.957642765;2050.39;3;Rand;2.0;10000;2.0;21
blobs;CAPPDELTA20;25844.63;2723585.805;13.97053635;0.957642765;1950.14;3;Rand;2.0;10000;2.0;21
blobs;JONES;4736.65;974505930.3;15.50111684;1;20000;3;Rand;0.0;20000;2.0;21
blobs;CHEN;4253.03;70195352108;13.70173601;0.885852444;20000;3;Rand;0.0;20000;2.0;21
blobs;PELLCAPPDELTA05;197417.64;166141205.9;15.6534663;1.011770803;17882.285;3;Rand;0.5;20000;2.0;21
blobs;CAPPDELTA05;120710.835;165228158.9;15.6534663;1.011770803;17753.83;3;Rand;0.5;20000;2.0;21
blobs;PELLCAPPDELTA20;41317.315;2998251.38;14.89210202;0.962654421;2142.68;3;Rand;2.0;20000;2.0;21
blobs;CAPPDELTA20;27257.765;2968097.21;14.89210202;0.962654421;2058.78;3;Rand;2.0;20000;2.0;21
blobs;JONES;17670.955;2253074771;15.70982984;1.309152487;30000;3;Rand;0.0;30000;2.0;21
blobs;CHEN;13426.045;1.63462E+11;13.75757351;1.146464459;30000;3;Rand;0.0;30000;2.0;21
blobs;PELLCAPPDELTA05;5359887.125;2417485188;15.38330135;1.281941779;132593.945;3;Rand;0.5;30000;2.0;21
blobs;CAPPDELTA05;5105990.475;2419962439;15.38330135;1.281941779;131692.03;3;Rand;0.5;30000;2.0;21
blobs;PELLCAPPDELTA20;277327.95;242176142.7;16.26698457;1.355582047;21254.79;3;Rand;2.0;30000;2.0;21
blobs;CAPPDELTA20;239960.955;242301333.3;16.26698457;1.355582047;21121.515;3;Rand;2.0;30000;2.0;21
blobs;JONES;4505.92;133447750.3;16.17966811;1;10000;4;Rand;0.0;10000;2.0;21
blobs;CHEN;3323.055;15292464540;13.0842436;0.809676228;10000;4;Rand;0.0;10000;2.0;21
blobs;PELLCAPPDELTA05;213969.57;111545072.7;16.02213795;0.991538394;16113.58;4;Rand;0.5;10000;2.0;21
blobs;CAPPDELTA05;230330.39;110684313.3;16.02213795;0.991538394;15912.275;4;Rand;0.5;10000;2.0;21
blobs;PELLCAPPDELTA20;44516.06;3787317.205;15.26491168;0.945065805;2568.09;4;Rand;2.0;10000;2.0;21
