beta;algorithm;update;query;radius;ratio;memory
0.5;CHEN;9445.55;15556790058;9.404855031;1;10000
1;CHEN;4905.59;15494622479;9.404855031;1;10000
1.5;CHEN;4209.525;15129688552;9.404855031;1;10000
2;CHEN;10499.46;15689677286;9.404855031;1;10000
2.5;CHEN;4217.09;14834362811;9.404855031;1;10000
3;CHEN;4585.02;15603430629;9.404855031;1;10000
3.5;CHEN;4601.695;15409126179;9.404855031;1;10000
4;CHEN;4815.16;15419171457;9.404855031;1;10000
5;CHEN;3952.68;15152033094;9.404855031;1;10000
10;CHEN;3608.465;15349869712;9.404855031;1;10000
15;CHEN;3992.895;15317251755;9.404855031;1;10000
20;CHEN;3829.58;15280849287;9.404855031;1;10000
30;CHEN;3838.155;15901384236;9.404855031;1;10000
40;CHEN;3967.945;15219074877;9.404855031;1;10000
50;CHEN;4123.985;15991986838;9.404855031;1;10000
70;CHEN;3608.875;15160216651;9.404855031;1;10000
100;CHEN;4280.995;15232988895;9.404855031;1;10000
200;CHEN;4075.925;15206710927;9.404855031;1;10000
500;CHEN;4076.645;15007131393;9.404855031;1;10000
1000;CHEN;4053.435;15829340626;9.404855031;1;10000
0.5;PELLCAPP;1481754.23;9563727084;9.474247995;1.012658456;61659.34
1;PELLCAPP;1389073.31;11412534965;9.194659067;0.982823171;45553.905
1.5;PELLCAPP;1104245.94;10626233576;9.006780863;0.962724142;33060.07
2;PELLCAPP;798066.25;10079209793;9.691914254;1.035298923;26988.045
2.5;PELLCAPP;1120550.07;9431827508;9.076761953;0.969966126;27976.99
3;PELLCAPP;1558432.485;13376572024;9.691645284;1.03583457;36193.07
3.5;PELLCAPP;1440167.72;13402278014;9.691645284;1.03583457;34052.28
4;PELLCAPP;825746.445;13446457880;9.691645284;1.03583457;32541.33
5;PELLCAPP;891603.57;13372336335;9.691645284;1.03583457;30360.675
10;PELLCAPP;706446.59;13416323758;9.691645284;1.03583457;25226.11
15;PELLCAPP;522922.15;13373366074;9.691645284;1.03583457;22735.14
20;PELLCAPP;543373.76;13362065118;9.691645284;1.03583457;21415.645
30;PELLCAPP;491159.325;13383413872;9.691645284;1.03583457;20162.635
40;PELLCAPP;494357.465;13370708788;9.691645284;1.03583457;19623.305
50;PELLCAPP;751358.605;13321427012;9.691645284;1.03583457;19283.175
70;PELLCAPP;543459.9;13362612865;9.691645284;1.03583457;18954.085
100;PELLCAPP;719907.49;13287101416;9.691645284;1.03583457;18751.895
200;PELLCAPP;733603.45;13295678352;9.691645284;1.03583457;18544.97
500;PELLCAPP;729778.945;13278934599;9.691645284;1.03583457;18496.79
1000;PELLCAPP;625600.72;13298480223;9.691645284;1.03583457;18496.79
0.5;PELLCAPPDELTA05;262395.33;954591864;9.561109633;1.022991982;13256.05
1;PELLCAPPDELTA05;181298.01;1704043705;9.591564255;1.025214929;7880.235
1.5;PELLCAPPDELTA05;130157.625;529444647.3;9.484993454;1.014217126;4479.96
2;PELLCAPPDELTA05;110314.46;185348749.8;9.735858809;1.041456347;3153.2
2.5;PELLCAPPDELTA05;125354.845;79421992.94;9.609071728;1.027602794;4376.13
3;PELLCAPPDELTA05;147681.465;1697439765;9.591564255;1.025214929;5303.745
