beta;algorithm;update;query;radius;ratio;memory
0.5;CHEN;16033.585;16946178789;2.018426379;1;10000
1;CHEN;17622.155;17157856377;2.018426379;1;10000
1.5;CHEN;18202.575;17274913204;2.018426379;1;10000
2;CHEN;16444.7;16456990388;2.018426379;1;10000
2.5;CHEN;18788.515;17444238124;2.018426379;1;10000
3;CHEN;17200.685;17264318309;2.018426379;1;10000
3.5;CHEN;14152.56;17184882103;2.018426379;1;10000
4;CHEN;12373.055;17322935857;2.018426379;1;10000
5;CHEN;12368.1;17222410079;2.018426379;1;10000
10;CHEN;12200.33;17335614512;2.018426379;1;10000
15;CHEN;11311.345;17322900384;2.018426379;1;10000
20;CHEN;11721.645;17476848994;2.018426379;1;10000
30;CHEN;12299.035;17283671795;2.018426379;1;10000
40;CHEN;14928.405;17127106451;2.018426379;1;10000
50;CHEN;11806.06;17221283876;2.018426379;1;10000
70;CHEN;13500.71;17210027374;2.018426379;1;10000
100;CHEN;15415.13;17117342367;2.018426379;1;10000
200;CHEN;14398.935;17229776100;2.018426379;1;10000
500;CHEN;13874.85;17151512109;2.018426379;1;10000
1000;CHEN;13368.5;17112874453;2.018426379;1;10000
0.5;PELLCAPP;10711584.01;16308660956;2.018426379;1;173541.865
1;PELLCAPP;9563512.115;16143007477;2.018426379;1;114224.695
1.5;PELLCAPP;7107748.855;16167153904;2.018426379;1;94767.565
2;PELLCAPP;5344850.515;16315812433;2.018426379;1;80779.705
2.5;PELLCAPP;6520605.97;16153454273;2.018426379;1;79722.34
3;PELLCAPP;6217814.135;16166672486;2.018426379;1;74065.135
3.5;PELLCAPP;3976218.15;16195548043;2.018426379;1;68042.3
4;PELLCAPP;3237716.745;16267171575;2.018426379;1;61362.1
5;PELLCAPP;3271479.945;16278422097;2.018426379;1;60230.975
10;PELLCAPP;3102701.32;16201320884;2.018426379;1;60087.295
15;PELLCAPP;2584149.51;16363524876;2.018426379;1;54031.585
20;PELLCAPP;1892276.485;16311394205;2.018426379;1;46251.625
30;PELLCAPP;1805329.08;16318408081;2.018426379;1;40313.63
40;PELLCAPP;2295736.03;16166676818;2.018426379;1;40182.85
50;PELLCAPP;2094778.62;16263301024;2.018426379;1;40180.845
70;PELLCAPP;2508464.135;16262228342;2.018426379;1;40180.845
100;PELLCAPP;3010458.81;16165557294;2.018426379;1;40180.845
200;PELLCAPP;2595869.65;16118004016;2.018426379;1;40153.295
500;PELLCAPP;2328172.04;16192919343;2.018426379;1;40153.295
1000;PELLCAPP;2182855.155;16168572494;2.018426379;1;40153.295
0.5;PELLCAPPDELTA05;5330233.75;16264108036;2.018426379;1;88488.09
1;PELLCAPPDELTA05;4537109.225;16121209916;2.018426379;1;55020.705
1.5;PELLCAPPDELTA05;3358492.455;16145298727;2.018426379;1;41639.56
2;PELLCAPPDELTA05;2999773.95;16313978278;2.018426379;1;39989.82
2.5;PELLCAPPDELTA05;3136982.395;16134243243;2.018426379;1;38303.98
3;PELLCAPPDELTA05;2882608.565;16153252935;2.018426379;1;34824.98
3.5;PELLCAPPDELTA05;1767180.28;16185388434;2.018426379;1;31961.11
4;PELLCAPPDELTA05;1376879.14;16258519383;2.018426379;1;29645.93
5;PELLCAPPDELTA05;1382474.395;16268758999;2.018426379;1;22523.01
10;PELLCAPPDELTA05;1226986.26;16191323818;2.018426379;1;20180.845
15;PELLCAPPDELTA05;1299065.34;16351764408;2.018426379;1;20177.845
20;PELLCAPPDELTA05;1113212.59;16300744086;2.018426379;1;20177.845
30;PELLCAPPDELTA05;1058809.58;16306180037;2.018426379;1;20177.845
40;PELLCAPPDELTA05;1353255.33;16157371746;2.018426379;1;20177.845
50;PELLCAPPDELTA05;1206819.315;16254070920;2.018426379;1;20150.295
70;PELLCAPPDELTA05;1483644.645;16252332614;2.018426379;1;20150.295
100;PELLCAPPDELTA05;1710705.965;16156712065;2.018426379;1;20150.295
200;PELLCAPPDELTA05;1479832.335;16107075136;2.018426379;1;20150.295
500;PELLCAPPDELTA05;1409397.515;16183850952;2.018426379;1;20150.295
1000;PELLCAPPDELTA05;1355698.94;16159644625;2.018426379;1;20150.295
0.5;PELLCAPPDELTA10;3157784.145;16268755618;2.018426379;1;52658.795
1;PELLCAPPDELTA10;2815199.62;16123269525;2.018426379;1;35017.705
1.5;PELLCAPPDELTA10;1892329.535;16146438306;2.018426379;1;29676.565
2;PELLCAPPDELTA10;1783265.45;16315429606;2.018426379;1;22526.01
2.5;PELLCAPPDELTA10;1863479.58;16133053495;2.018426379;1;20708.78
3;PELLCAPPDELTA10;2068026.575;16151362374;2.018426379;1;20341.18
3.5;PELLCAPPDELTA10;1489799.825;16184597084;2.018426379;1;20232.2
4;PELLCAPPDELTA10;1290990.88;16257530719;2.018426379;1;20189.32
5;PELLCAPPDELTA10;1299117.955;16267175392;2.018426379;1;20180.845
10;PELLCAPPDELTA10;1184764.32;16189295880;2.018426379;1;20180.845
15;PELLCAPPDELTA10;1247488.44;16353186378;2.018426379;1;20177.845
20;PELLCAPPDELTA10;1081585.225;16301674595;2.018426379;1;20177.845
30;PELLCAPPDELTA10;1016287.61;16304960742;2.018426379;1;20150.295
40;PELLCAPPDELTA10;1348433.825;16156791445;2.018426379;1;20150.295
50;PELLCAPPDELTA10;1187041.055;16254181841;2.018426379;1;20150.295
70;PELLCAPPDELTA10;1469808.415;16252638333;2.018426379;1;20150.295
100;PELLCAPPDELTA10;1719741.22;16156233207;2.018426379;1;20150.295
200;PELLCAPPDELTA10;1511779.805;16106501818;2.018426379;1;20150.295
500;PELLCAPPDELTA10;1310369.235;16183394942;2.018426379;1;20150.295
1000;PELLCAPPDELTA10;1287347.705;16159413023;2.018426379;1;20150.295
0.5;PELLCAPPDELTA15;1881581.97;16270737736;2.011266308;0.996823686;32655.795
1;PELLCAPPDELTA15;1964546.755;16126966281;2.011266308;0.996823686;22307.02
1.5;PELLCAPPDELTA15;1733518.16;16151919535;2.011266308;0.996823686;20269.39
2;PELLCAPPDELTA15;1721118.195;16328449903;2.011266308;0.996823686;19986.82
2.5;PELLCAPPDELTA15;1764212.995;16142031074;2.011266308;0.996823686;19962.02
3;PELLCAPPDELTA15;1935022.885;16158309492;2.011266308;0.996823686;19932.465
3.5;PELLCAPPDELTA15;1339475.095;16188167073;2.011266308;0.996823686;19932.465
4;PELLCAPPDELTA15;1167392.51;16259832547;2.011266308;0.996823686;19932.465
5;PELLCAPPDELTA15;1211292.3;16274734246;2.011266308;0.996823686;19932.465
10;PELLCAPPDELTA15;1072998.455;16206186735;2.011266308;0.996823686;19932.465
15;PELLCAPPDELTA15;1174866.875;16355595964;2.011266308;0.996823686;19901.915
20;PELLCAPPDELTA15;1001648.06;16308529662;2.011266308;0.996823686;19901.915
30;PELLCAPPDELTA15;950129.465;16311694692;2.011266308;0.996823686;19901.915
40;PELLCAPPDELTA15;1171226.52;16162412594;2.011266308;0.996823686;19901.915
50;PELLCAPPDELTA15;1117565.57;16262738070;2.011266308;0.996823686;19901.915
70;PELLCAPPDELTA15;1326490.46;16259479186;2.011266308;0.996823686;19901.915
100;PELLCAPPDELTA15;1540854.24;16162937998;2.011266308;0.996823686;19901.915
200;PELLCAPPDELTA15;1330753.445;16135965225;2.011266308;0.996823686;19901.915
500;PELLCAPPDELTA15;1215541.715;16189975876;2.011266308;0.996823686;19901.915
