dimension;algorithm;update;query;radius;ratio;memory
2;JONES;6311.285;170247674.7;12.98204904;1;10000
3;JONES;4812.595;173889334.5;14.59424026;1;10000
4;JONES;5227.49;191293171.3;16.17966811;1;10000
5;JONES;5410.115;202126094.2;15.9008513;1;10000
6;JONES;4498.265;208699802.7;17.71760494;1;10000
7;JONES;5730;196918965.8;17.48617634;1;10000
8;JONES;4202.055;173887093.3;18.33302237;1;10000
9;JONES;4349.44;166025166.6;18.00258819;1;10000
10;JONES;4844.295;165213156;18.0991247;1;10000
2;PELLCAPPDELTA05;123481.055;27159818.02;12.902971;0.995035647;7549.705
3;PELLCAPPDELTA05;153630.995;76054996.02;14.54300598;0.996907122;12716.85
4;PELLCAPPDELTA05;216966.625;113038099.5;16.02213795;0.991538394;16113.58
5;PELLCAPPDELTA05;178848.01;138740525.2;15.99588625;1.006473456;19578.915
6;PELLCAPPDELTA05;508441.455;167196340.3;17.5202813;0.990740316;23952.265
7;PELLCAPPDELTA05;767448.56;192621150.6;17.30679963;0.990132281;27596.835
8;PELLCAPPDELTA05;365793.735;213369225;18.48822532;1.008624928;30504.54
9;PELLCAPPDELTA05;717898.915;225286577.2;17.98962597;1.000471733;31771.01
10;PELLCAPPDELTA05;908371.845;235168639.8;18.02831925;0.99617349;32509.21
2;PELLCAPPDELTA10;79668.945;8074297.665;12.8921556;0.994109998;3751.51
3;PELLCAPPDELTA10;59782.635;18110478.46;14.46625494;0.991637746;5579.115
4;PELLCAPPDELTA10;66747.495;42094180.16;16.21285878;1.003455598;8300.38
5;PELLCAPPDELTA10;94530.75;75339429.13;15.78860107;0.993368265;10959.575
6;PELLCAPPDELTA10;152282.87;99957148.4;17.73408603;1.002478715;12521.37
7;PELLCAPPDELTA10;202935.385;112709889.3;17.42223696;0.996730025;13435.415
8;PELLCAPPDELTA10;262199.2;126179481.9;18.30177699;0.99845068;14632.62
9;PELLCAPPDELTA10;255691.885;141155024.6;18.07986138;1.005632671;15914.435
10;PELLCAPPDELTA10;464084.715;158621030.2;18.09442766;0.999917508;17312.53
2;PELLCAPPDELTA15;63809.755;3427644.85;13.03839985;1.005246495;2338.225
3;PELLCAPPDELTA15;45471.045;5709424.765;14.33329393;0.982537198;3172.56
4;PELLCAPPDELTA15;51454.865;10095068.89;16.13412746;0.998624718;4161.56
5;PELLCAPPDELTA15;44976.205;19535153.17;15.97472244;1.005179866;5639.98
6;PELLCAPPDELTA15;76842.66;36134954.3;17.73099054;1.002865861;7547.31
7;PELLCAPPDELTA15;113265.425;57633331.56;17.3276166;0.991382042;9403.16
8;PELLCAPPDELTA15;83418.775;80702806.06;18.30653313;0.998695873;11118.73
9;PELLCAPPDELTA15;126811.89;93467538.67;17.8619829;0.993504437;11945.45
10;PELLCAPPDELTA15;130374.25;103036606.5;18.15069584;1.002978876;12559.665
2;PELLCAPPDELTA20;54205.18;2551024.23;12.10333818;0.933009949;1694.4
3;PELLCAPPDELTA20;38047.1;2711432.72;13.97053635;0.957642765;2050.39
4;PELLCAPPDELTA20;37176.77;3742934.78;15.26491168;0.945065805;2568.09
5;PELLCAPPDELTA20;33912.18;4872863.955;15.79030043;0.993552599;2876.78
6;PELLCAPPDELTA20;46094.955;6897811.03;17.81694803;1.007778382;3314.895
7;PELLCAPPDELTA20;50906.38;12523173.19;17.67018332;1.011019459;4414.54
8;PELLCAPPDELTA20;42596.2;17433799.11;17.13500236;0.934787871;5258.655
9;PELLCAPPDELTA20;56355.75;28924065.26;17.55541783;0.976721754;6644.33
10;PELLCAPPDELTA20;56913.67;44288799.06;18.29525064;1.011013014;8181.165
