dataset;algorithm;update;query;radius;ratio;memory;dimensions;type;delta;wsize;beta;k
phones;PELLOBL05;80197.245;77327.135;8.21178787;1;1495.51;3;Rand;0.5;10000;2;14
phones;PELL05;42542.185;71100.41;8.21178787;1;1881.08;3;Rand;0.5;10000;2;14
phones;PELLOBL20;31862.75;13735.905;10.72163288;1.306171563;453.77;3;Rand;2.0;10000;2;14
phones;PELL20;33758.59;13146.96;10.72163288;1.306171563;845.34;3;Rand;2.0;10000;2;14
phones;PELLCAPPDELTA05;65083.57;3294469.555;9.207416942;1.12133024;3153.2;3;Rand;0.5;10000;2;14
phones;CAPPDELTA05;66760.135;3007110.575;9.207416942;1.12133024;3465.815;3;Rand;0.5;10000;2;14
phones;PELLCAPPDELTA20;38023.055;473394.195;10.44594767;1.272353992;1015.445;3;Rand;2.0;10000;2;14
phones;CAPPDELTA20;42370.535;461241.97;10.44594767;1.272353992;1359.32;3;Rand;2.0;10000;2;14
covtype;PELLOBL05;340961.495;211481.11;1856.519657;1;2760.11;54;Rand;0.5;10000;2;14
covtype;PELL05;95065.87;194886.835;1856.519657;1;2963.765;54;Rand;0.5;10000;2;14
covtype;PELLOBL20;31547.8;16000.45;2615.611011;1.411900651;452.255;54;Rand;2.0;10000;2;14
covtype;PELL20;32434.205;15619.625;2615.611011;1.411900651;661.91;54;Rand;2.0;10000;2;14
covtype;PELLCAPPDELTA05;120932.26;14445921.61;1817.905933;0.980104288;5751.845;54;Rand;0.5;10000;2;14
covtype;CAPPDELTA05;128218.44;14466114.88;1817.905933;0.980104288;5880.035;54;Rand;0.5;10000;2;14
covtype;PELLCAPPDELTA20;37341.45;904528.29;1879.431472;1.013862064;1475.22;54;Rand;2.0;10000;2;14
covtype;CAPPDELTA20;41284.625;893210.21;1879.431472;1.013862064;1634.75;54;Rand;2.0;10000;2;14
higgs;PELLOBL05;42638.53;8689.14;6.143312375;1;989.17;7;Rand;0.5;10000;2;4
higgs;PELL05;19139.935;6627.035;6.143312375;1;1007.225;7;Rand;0.5;10000;2;4
higgs;PELLOBL20;13141.105;4509.6;10.54922449;1.718285678;191.555;7;Rand;2.0;10000;2;4
higgs;PELL20;11492.755;4054.85;10.54922449;1.718285678;215.61;7;Rand;2.0;10000;2;4
higgs;PELLCAPPDELTA05;25387.64;126376.37;5.797079552;0.943477404;1553.265;7;Rand;0.5;10000;2;4
higgs;CAPPDELTA05;22864.97;114523.17;5.797079552;0.943477404;1556.49;7;Rand;0.5;10000;2;4
higgs;PELLCAPPDELTA20;15568.275;86395.14;8.456310832;1.375928284;289.365;7;Rand;2.0;10000;2;4
higgs;CAPPDELTA20;13899.3;84064.615;8.456310832;1.375928284;304.555;7;Rand;2.0;10000;2;4
