k;algorithm;update;query;radius;ratio;memory
7;CHEN;3200.91;15313855272;9.734925737;1;10000
14;CHEN;5344.615;15857026663;6.912918993;1;10000
35;CHEN;4057.57;16016479746;3.037318949;1;10000
70;CHEN;4234.56;15789492964;2.497089679;1;10000
105;CHEN;4732.36;17228155595;2.33181524;1;10000
140;CHEN;5640.53;17203724064;2.229467402;1;10000
175;CHEN;5886.67;17618263225;1.60129463;1;10000
350;CHEN;7024.215;17677488116;1.342799785;1;10000
700;CHEN;7080.065;17812460648;0.965439061;1;10000
7;PELLCAPP;582276.42;3634232450;9.888722973;1.017692798;16423.62
14;PELLCAPP;828837.615;6533492336;7.111590402;1.040550854;31702.505
35;PELLCAPP;1257214.07;15259457752;3.061201417;1.008569956;45168.035
70;PELLCAPP;1871499.705;15313826261;2.526882753;1.01357053;57281.97
105;PELLCAPP;3283722.64;15263046254;2.33181524;1;61039.465
140;PELLCAPP;2738763.85;15322014898;2.229467402;1;62396.495
175;PELLCAPP;2038622.665;15583436059;1.60129463;1;63401.775
350;PELLCAPP;2456572.605;15628599870;1.342799785;1;67241.53
700;PELLCAPP;3389368.505;15846047271;0.965439061;1;79872.99
7;PELLCAPPDELTA05;44747.055;839439.57;8.705663978;0.898380124;643.315
14;PELLCAPPDELTA05;55599.88;1662079.19;6.165686795;0.903658059;1553.265
35;PELLCAPPDELTA05;190199.4;421695190.2;2.882989463;0.950264887;7687.745
70;PELLCAPPDELTA05;275949.16;708082578.4;2.386161869;0.95770518;14944.52
105;PELLCAPPDELTA05;566605.67;14416290241;2.368768491;1.018609119;17653.84
140;PELLCAPPDELTA05;513092.595;14859450468;2.195526455;0.985886568;18937.545
175;PELLCAPPDELTA05;433371.97;15259471576;1.609017383;1.006761905;19830.225
350;PELLCAPPDELTA05;632792.04;15295918779;1.369226289;1.021292665;23364.715
700;PELLCAPPDELTA05;1204860.395;15420910490;0.982616818;1.019425874;35006.765
7;PELLCAPPDELTA10;20005.545;154882;9.155266651;0.947429052;269.675
14;PELLCAPPDELTA10;35262.44;438950.975;7.125476812;1.04565827;600.23
35;PELLCAPPDELTA10;74391.42;43994678.51;2.979702518;0.983544839;4044.525
70;PELLCAPPDELTA10;116378.505;81200754.65;2.497720978;1.001859928;7416.36
105;PELLCAPPDELTA10;230766.025;4062320174;2.298169893;0.987948448;8689.835
140;PELLCAPPDELTA10;235448.24;4963610143;1.910587361;0.859577199;10057.05
175;PELLCAPPDELTA10;204015.215;5996147183;1.631852361;1.021170036;11138.43
350;PELLCAPPDELTA10;328957.51;9591005831;1.346778326;1.003965875;15208.18
700;PELLCAPPDELTA10;765720.48;15216541971;1.021072995;1.059239248;25931.26
7;PELLCAPPDELTA15;17140.385;118612.42;10.10199755;1.041295108;182.21
14;PELLCAPPDELTA15;29132.76;252224.86;7.291946412;1.068987199;395.165
35;PELLCAPPDELTA15;47681.425;16890549.24;2.913062684;0.961099907;2555.785
70;PELLCAPPDELTA15;79990.78;28949843.03;2.413581084;0.968898049;4407.905
105;PELLCAPPDELTA15;128361.31;995531183.4;2.115737972;0.912439888;5106.645
140;PELLCAPPDELTA15;133620.29;1286846946;1.853411074;0.834317183;6128.895
175;PELLCAPPDELTA15;123128.04;1601566892;1.635427053;1.023335064;6900.435
350;PELLCAPPDELTA15;216397.23;2867333038;1.347056149;1.004324753;10034.135
700;PELLCAPPDELTA15;548835.145;5896537180;1.021926935;1.060025775;19260.855
7;PELLCAPPDELTA20;16230.92;51266.455;11.1797091;1.152107921;153.76
14;PELLCAPPDELTA20;26475.09;230482.78;8.845994847;1.298893761;289.365
35;PELLCAPPDELTA20;39924.1;6838793;3.044651747;1.004450355;1843.135
70;PELLCAPPDELTA20;51515.125;12416092.89;2.507572207;1.006150823;3106.44
105;PELLCAPPDELTA20;90090.595;353433947.6;2.309295599;0.994886475;3566.675
140;PELLCAPPDELTA20;98996.255;476993369.9;2.159522219;0.970953897;4382.35
175;PELLCAPPDELTA20;92414.57;607521376.6;1.713752292;1.072560327;5016.41
350;PELLCAPPDELTA20;165733.98;1196404614;1.383792334;1.032310322;7572.4
700;PELLCAPPDELTA20;405467.765;3032685264;1.027741787;1.066839436;15782.2
