k;algorithm;update;query;radius;ratio;memory
7;CHEN;7135.775;16376666154;12.77619581;1;10000
14;CHEN;10499.46;15689677286;9.404855031;1;10000
35;CHEN;5474.69;15223319617;7.517653695;1;10000
70;CHEN;8696.76;15220877994;5.764995185;1;10000
105;CHEN;6689.29;15515089474;5.328525745;1;10000
140;CHEN;7025.89;15113446477;4.51837068;1;10000
175;CHEN;8245.745;15750579993;4.053793262;1;10000
350;CHEN;12660.71;15982672286;2.575317425;1;10000
700;CHEN;12765.16;16196313876;1.70757601;1;10000
7;PELLCAPP;651332.08;8022645615;12.39573318;0.976160016;22229.355
14;PELLCAPP;798066.25;10079209793;9.691914254;1.035298923;26988.045
35;PELLCAPP;1289403.005;14733089889;7.533087005;1.007648236;49345.44
70;PELLCAPP;1517030.01;15068005206;5.799044444;1.007962231;54941.875
105;PELLCAPP;2156222.355;14940884704;5.279547877;0.996256338;61015.345
140;PELLCAPP;2257062.605;14893330644;4.541650272;1.007803246;67430.9
175;PELLCAPP;2400288.445;15124881495;4.044585518;0.999611981;75913.735
350;PELLCAPP;3925498.37;15408985237;2.61201387;1.016903048;97934.595
700;PELLCAPP;6476320.675;15899837506;1.712223077;1.002910519;122372.295
7;PELLCAPPDELTA05;76188.665;60880353.26;12.53758343;0.987733197;1676.445
14;PELLCAPPDELTA05;110314.46;185348749.8;9.735858809;1.041456347;3153.2
35;PELLCAPPDELTA05;229540.785;6907320803;6.945256409;0.933799968;12548.315
70;PELLCAPPDELTA05;314870.095;9384624280;5.734361505;0.996815516;17280.865
105;PELLCAPPDELTA05;550835.975;10572402220;5.674411826;1.07232633;22342.515
140;PELLCAPPDELTA05;606116.885;11587344195;4.454992497;0.990112471;27577.965
175;PELLCAPPDELTA05;785471.92;12593089532;3.897689411;0.965510759;34370.96
350;PELLCAPPDELTA05;2010206.08;15092530279;2.500086268;0.974932447;55809.17
700;PELLCAPPDELTA05;4095999.02;15421642715;1.673933739;0.981588808;80420.46
7;PELLCAPPDELTA10;46568.11;7813060.67;12.70364547;1.001555633;797.68
14;PELLCAPPDELTA10;70035.615;23193374.66;9.810553749;1.049474637;1688.605
35;PELLCAPPDELTA10;108480.085;1878093680;7.335507487;0.983733815;6323.77
70;PELLCAPPDELTA10;176401.12;4323419588;5.878471528;1.022136129;10613.58
105;PELLCAPPDELTA10;330233.31;6452969675;5.292505444;0.999988396;15211.89
140;PELLCAPPDELTA10;400087.285;8089140381;4.469117688;0.991662874;19761.9
175;PELLCAPPDELTA10;499902.305;9311092237;4.115926043;1.020111188;25397.13
350;PELLCAPPDELTA10;1575711.24;14761428980;2.560182911;0.9974583;44546.625
700;PELLCAPPDELTA10;3659078.415;15162452197;1.702658972;0.998417233;68558.515
7;PELLCAPPDELTA15;34850.315;2782741.325;13.14039834;1.035455627;559.685
14;PELLCAPPDELTA15;60558.77;6771021.425;10.23490417;1.094773845;1209.53
35;PELLCAPPDELTA15;75610.565;720769382.1;7.13640902;0.958523232;4176.645
70;PELLCAPPDELTA15;139535.615;1867952708;5.865188805;1.019530854;7581.21
105;PELLCAPPDELTA15;233463.32;3069418278;5.275033142;0.997116139;11577.98
140;PELLCAPPDELTA15;310018.33;4273542700;4.626986822;1.027699887;15776.985
175;PELLCAPPDELTA15;376253.365;5544663835;3.881868191;0.962351108;21108.81
350;PELLCAPPDELTA15;1452888.795;14425892552;2.567863135;1.001149701;40582.16
700;PELLCAPPDELTA15;3426218.66;15127676940;1.764180923;1.034029293;64504.045
7;PELLCAPPDELTA20;30406.25;1825125.98;11.94209241;0.94099891;456.27
14;PELLCAPPDELTA20;56311.62;3869364.95;12.09585991;1.293767149;1015.445
35;PELLCAPPDELTA20;73522.555;324414053.4;7.551293903;1.014453766;3117.6
70;PELLCAPPDELTA20;114263.635;967342304.7;5.73506411;0.998423302;6031.435
105;PELLCAPPDELTA20;178125.995;1668821282;4.864848883;0.919640485;9597.165
140;PELLCAPPDELTA20;262478.91;2404224909;4.262576949;0.946359649;13257.79
175;PELLCAPPDELTA20;324872.24;3175664484;3.752742164;0.932552901;18188.37
350;PELLCAPPDELTA20;1309697.345;13326559893;2.649337401;1.033446929;36237.47
700;PELLCAPPDELTA20;3296382.08;15178856307;1.755304785;1.030003986;60209.7
