k;algorithm;update;query;radius;ratio;memory
7;CHEN;6754.165;17047532709;2.118385939;1;10000
14;CHEN;16444.7;16456990388;2.018426379;1;10000
35;CHEN;14904.485;17187739765;1.869585001;1;10000
70;CHEN;15308.29;17406145030;1.743389327;1;10000
105;CHEN;14937.995;17640039599;1.669239712;1;10000
140;CHEN;14846.08;17587837477;1.61304246;1;10000
175;CHEN;18155.425;18039567732;1.574679311;1;10000
350;CHEN;14993.925;17214875771;1.457552273;1;10000
700;CHEN;13319.345;17977187833;1.344019848;1;10000
7;PELLCAPP;3457454.12;15996961337;2.118385939;1;65049.86
14;PELLCAPP;5344850.515;16315812433;2.018426379;1;80779.705
35;PELLCAPP;4767645.885;16316727021;1.869585001;1;81786.03
70;PELLCAPP;6090728.105;16392977795;1.743389327;1;83443.605
105;PELLCAPP;6716563.8;16525566097;1.669239712;1;85087.315
140;PELLCAPP;6318699.47;16564100066;1.61304246;1;86716.625
175;PELLCAPP;5242505.1;16927943013;1.574679311;1;88327.35
350;PELLCAPP;5680911.135;16840630049;1.457552273;1;92794.265
700;PELLCAPP;8474590.47;17512202172;1.344019848;1;95194.265
7;PELLCAPPDELTA05;1458925.135;15888310650;2.115706373;0.999390567;24469.77
14;PELLCAPPDELTA05;2999773.95;16313978278;2.018426379;1;39989.82
35;PELLCAPPDELTA05;2632888.265;16297075455;1.869585001;1;40249.185
70;PELLCAPPDELTA05;3246281.515;16374315907;1.743389327;1;40667
105;PELLCAPPDELTA05;3616805.455;16510025669;1.669239712;1;41065.78
140;PELLCAPPDELTA05;3401348.505;16546504731;1.61304246;1;41448.585
175;PELLCAPPDELTA05;2873715.1;16909589241;1.574679311;1;41815.655
350;PELLCAPPDELTA05;3449983.38;16821362666;1.457552273;1;43489.42
700;PELLCAPPDELTA05;6047239.11;17494756164;1.344019848;1;46789.42
7;PELLCAPPDELTA10;380313.27;156966964.4;2.177131385;1.028553163;5982.015
14;PELLCAPPDELTA10;1783265.45;16315429606;2.018426379;1;22526.01
35;PELLCAPPDELTA10;1476098.755;16300100207;1.869585001;1;25923.23
70;PELLCAPPDELTA10;1870050.405;16375711123;1.743389327;1;30796.235
105;PELLCAPPDELTA10;2001989.965;16508112274;1.669239712;1;31134.845
140;PELLCAPPDELTA10;2006050.65;16546337807;1.61304246;1;31416.315
175;PELLCAPPDELTA10;1741130.065;16907734522;1.574679311;1;31686.315
350;PELLCAPPDELTA10;2459562.085;16822353770;1.457552273;1;32907.455
700;PELLCAPPDELTA10;4941719.285;17493949843;1.344019848;1;35307.455
7;PELLCAPPDELTA15;302144.43;218641.12;2.433303693;1.149462583;4733.875
14;PELLCAPPDELTA15;1721118.195;16328449903;2.011266308;0.996823686;19986.82
35;PELLCAPPDELTA15;1335506.065;16290185291;1.880325494;1.006028417;20246.185
70;PELLCAPPDELTA15;1784510.32;16371378057;1.753081473;1.005810969;20664
105;PELLCAPPDELTA15;1904737.32;16518987393;1.671622998;1.001608093;21062.78
140;PELLCAPPDELTA15;1870792.425;16533056194;1.611948116;0.999481883;21445.585
175;PELLCAPPDELTA15;1612978.99;16906189199;1.583118093;1.005508046;21812.655
350;PELLCAPPDELTA15;2359277.93;16818415652;1.467847435;1.007183998;23486.42
700;PELLCAPPDELTA15;4851264.195;17495679610;1.344085479;1.000089618;26786.42
7;PELLCAPPDELTA20;119842.435;130433.175;2.536206159;1.198158495;3899.96
14;PELLCAPPDELTA20;953158.97;16163110655;1.981839589;0.982338994;14852.53
35;PELLCAPPDELTA20;699375.7;16395938630;1.854704848;0.992385588;15161.665
70;PELLCAPPDELTA20;934327.43;16456925032;1.735835739;0.996002914;15522.615
105;PELLCAPPDELTA20;1039996.285;16617285217;1.666841295;0.998843442;15864.54
140;PELLCAPPDELTA20;1022172.015;16607607414;1.621127988;1.00522096;16190.09
175;PELLCAPPDELTA20;969844.715;17010544944;1.570650534;0.997637781;16500.34
350;PELLCAPPDELTA20;1680139.115;16856216820;1.468388189;1.007563424;17879.04
700;PELLCAPPDELTA20;4039784.68;17477324555;1.343706929;0.999802456;20579.04
