dataset;algorithm;update;query;radius;ratio;memory;dimensions;type;delta;wsize;beta;k
phones_3;JONES;5756.335;162240128.1;9.295838771;1;10000;3;Rand;0;10000;2;14
phones_3;CHEN;4211.515;15816236668;9.404855031;1.015775817;10000;3;Rand;0;10000;2;14
phones_3;PELLCAPPDELTA05;107082.355;3168404.035;9.207416942;0.994795408;3153.2;3;Rand;0.5;10000;2;14
phones_3;CAPPDELTA05;73819.065;3107311.28;9.207416942;0.994795408;3465.815;3;Rand;0.5;10000;2;14
phones_3;PELLCAPPDELTA20;42987.905;480179.295;10.44594767;1.128691377;1015.445;3;Rand;2.0;10000;2;14
phones_3;CAPPDELTA20;48180.375;461010.755;10.44594767;1.128691377;1359.32;3;Rand;2.0;10000;2;14
phones_6;JONES;4336.595;168389889.3;9.295838771;1;10000;6;Rand;0;10000;2;14
phones_6;CHEN;3281.745;16064295727;9.404855031;1.015775817;10000;6;Rand;0;10000;2;14
phones_6;PELLCAPPDELTA05;93712.935;3183237.19;9.207416942;0.994795408;3153.2;6;Rand;0.5;10000;2;14
phones_6;CAPPDELTA05;63874.18;3089625.48;9.207416942;0.994795408;3465.815;6;Rand;0.5;10000;2;14
phones_6;PELLCAPPDELTA20;30986.535;456860.6;10.44594767;1.128691377;1015.445;6;Rand;2.0;10000;2;14
phones_6;CAPPDELTA20;42100.66;448637.685;10.44594767;1.128691377;1359.32;6;Rand;2.0;10000;2;14
phones_9;JONES;4587;162493629.9;9.295838771;1;10000;9;Rand;0;10000;2;14
phones_9;CHEN;4207.825;16108095102;9.404855031;1.015775817;10000;9;Rand;0;10000;2;14
phones_9;PELLCAPPDELTA05;116403.395;3424546.3;9.207416942;0.994795408;3153.2;9;Rand;0.5;10000;2;14
phones_9;CAPPDELTA05;82021.81;3347977.165;9.207416942;0.994795408;3465.815;9;Rand;0.5;10000;2;14
phones_9;PELLCAPPDELTA20;33168.765;488864.83;10.44594767;1.128691377;1015.445;9;Rand;2.0;10000;2;14
phones_9;CAPPDELTA20;44725.54;479434.43;10.44594767;1.128691377;1359.32;9;Rand;2.0;10000;2;14
phones_12;JONES;4342.645;160367951;9.295838771;1;10000;12;Rand;0;10000;2;14
phones_12;CHEN;2932.945;16211500495;9.404855031;1.015775817;10000;12;Rand;0;10000;2;14
phones_12;PELLCAPPDELTA05;128181.02;3714544.51;9.207416942;0.994795408;3153.2;12;Rand;0.5;10000;2;14
phones_12;CAPPDELTA05;87412.76;3595754.755;9.207416942;0.994795408;3465.815;12;Rand;0.5;10000;2;14
phones_12;PELLCAPPDELTA20;34054.8;524171.075;10.44594767;1.128691377;1015.445;12;Rand;2.0;10000;2;14
phones_12;CAPPDELTA20;43511.295;516793.515;10.44594767;1.128691377;1359.32;12;Rand;2.0;10000;2;14
phones_15;JONES;4536.185;169001198;9.295838771;1;10000;15;Rand;0;10000;2;14
phones_15;CHEN;4515.615;16454288280;9.404855031;1.015775817;10000;15;Rand;0;10000;2;14
phones_15;PELLCAPPDELTA05;96848.575;3922456.695;9.207416942;0.994795408;3153.2;15;Rand;0.5;10000;2;14
phones_15;CAPPDELTA05;81823.155;3858210.595;9.207416942;0.994795408;3465.815;15;Rand;0.5;10000;2;14
phones_15;PELLCAPPDELTA20;33687.64;554710.75;10.44594767;1.128691377;1015.445;15;Rand;2.0;10000;2;14
phones_15;CAPPDELTA20;47081.195;543755.76;10.44594767;1.128691377;1359.32;15;Rand;2.0;10000;2;14
