type;algorithm;update;query;radius;ratio;memory
Rand;CHEN;5344.615;15857026663;6.912918993;1;10000
Rand;CAPP;1063754.645;6540144963;7.111590402;1.040550854;31487.24
Rand;REALCAPP;980010.12;6533651843;7.111590402;1.040550854;31467.24
Rand;COHCAPP;929881.29;6531513883;7.111590402;1.040550854;31703.31
Rand;PELLCAPP;828837.615;6533492336;7.111590402;1.040550854;31702.505
Rand;CAPPDELTA05;70208.895;1721540.665;6.165686795;0.903658059;1556.49
Rand;REALCAPPDELTA05;48272.12;1680577.195;6.165686795;0.903658059;1536.49
Rand;COHCAPPDELTA05;54879.315;1672311.405;6.165686795;0.903658059;1554.07
Rand;PELLCAPPDELTA05;55599.88;1662079.19;6.165686795;0.903658059;1553.265
Rand;CAPPDELTA10;30413.965;441153.14;7.125476812;1.04565827;615.42
Rand;REALCAPPDELTA10;25984.12;429108.605;7.125476812;1.04565827;595.42
Rand;COHCAPPDELTA10;33648.695;359014.08;7.083974375;1.039071059;600.02
Rand;PELLCAPPDELTA10;35262.44;438950.975;7.125476812;1.04565827;600.23
Rand;CAPPDELTA15;25081.665;259290.04;7.291946412;1.068987199;410.355
Rand;REALCAPPDELTA15;20852.455;244347.065;7.291946412;1.068987199;390.355
Rand;COHCAPPDELTA15;28047.6;244294.105;7.005886657;1.027261407;395.97
Rand;PELLCAPPDELTA15;29132.76;252224.86;7.291946412;1.068987199;395.165
Rand;CAPPDELTA20;22547.095;228750.13;8.845994847;1.298893761;304.555
Rand;REALCAPPDELTA20;18963.52;219474.02;8.845994847;1.298893761;284.555
Rand;COHCAPPDELTA20;25107.365;181074.11;8.939426783;1.312865233;278.205
Rand;PELLCAPPDELTA20;26475.09;230482.78;8.845994847;1.298893761;289.365
Rand;CAPPVAL;19485.46;83322.925;13.58251613;1.992943365;126.595
Rand;REALCAPPVAL;11785.64;68869.735;13.58251613;1.992943365;116.595
Rand;COHCAPPVAL;19875.56;79374.51;13.84169594;2.030346118;128.34
Rand;PELLCAPPVAL;21211.575;72670.205;13.58251613;1.992943365;136.465
