wsize;algorithm;update;query;radius;ratio;memory
10000;JONES;4234.67;188909755.3;1790.299854;1;10000
10000;PELLCAPPDELTA05;152495.07;14813449.72;1817.905933;1.017161674;5751.845
10000;PELLCAPPDELTA10;52136.95;2659649.485;1762.123323;0.986169806;2530.545
10000;PELLCAPPDELTA15;36726.12;1261399;1763.287386;0.986761207;1818.485
10000;PELLCAPPDELTA20;50437.1;959827.405;1879.431472;1.051506222;1475.22
10000;PELLCAPPDELTA25;28709.335;829916.435;1904.11069;1.065231657;1134.46
10000;PELLCAPPDELTA30;27148.72;754826.945;2100.110372;1.174670814;918.485
10000;PELLCAPPDELTA35;41097.36;722637.945;2093.974585;1.170920985;858.72
10000;PELLCAPPDELTA40;25166.185;709314.855;1976.590486;1.105952169;697.11
10000;CAPPDELTA05;148065.515;14890547.06;1817.905933;1.017161674;5880.035
10000;CAPPDELTA10;67732.68;2532225.38;1762.123323;0.986169806;2690.075
10000;CAPPDELTA15;62575.635;1225274.19;1763.287386;0.986761207;1978.015
10000;CAPPDELTA20;51248.54;977329.07;1879.431472;1.051506222;1634.75
10000;CAPPDELTA25;40893.805;795727.61;1904.11069;1.065231657;1293.99
10000;CAPPDELTA30;50943.185;728641.785;2100.110372;1.174670814;1109.285
10000;CAPPDELTA35;46123.075;729789.99;2093.974585;1.170920985;1049.505
10000;CAPPDELTA40;34505.38;675849.52;1976.590486;1.105952169;887.895
