wsize;algorithm;update;query;radius;ratio;memory
10000;JONES;2530.08;142952274.4;6.354591869;1;10000
10000;PELLCAPPDELTA05;25650.225;133555.375;5.797079552;0.912840517;1553.265
10000;PELLCAPPDELTA10;20475.39;96214.465;6.389265801;1.006202261;600.23
10000;PELLCAPPDELTA15;13734.915;110811.875;7.251737584;1.141983418;395.165
10000;PELLCAPPDELTA20;13988.545;93094.65;8.456310832;1.331569721;289.365
10000;PELLCAPPDELTA25;16756.34;91831.235;9.346284176;1.471777215;248.035
10000;PELLCAPPDELTA30;12048.255;95676.775;10.98086436;1.729505435;214.04
10000;PELLCAPPDELTA35;12917.42;79939.705;13.46874688;2.120883203;196.79
10000;PELLCAPPDELTA40;15188.6;76731.9;13.46874688;2.120883203;180.055
10000;CAPPDELTA05;35872.335;135642.035;5.797079552;0.912840517;1556.49
10000;CAPPDELTA10;24542.135;99550.56;6.389265801;1.006202261;615.42
10000;CAPPDELTA15;21767.445;98590.74;7.251737584;1.141983418;410.355
10000;CAPPDELTA20;20629.485;89751.91;8.456310832;1.331569721;304.555
10000;CAPPDELTA25;19804.65;90713.895;9.346284176;1.471777215;263.225
10000;CAPPDELTA30;18787.115;85135.725;10.98086436;1.729505435;241.195
10000;CAPPDELTA35;18325.81;73886.895;13.46874688;2.120883203;223.97
10000;CAPPDELTA40;17164.6;73422.575;13.46874688;2.120883203;207.225
