wsize;algorithm;update;query;radius;ratio;memory
10000;JONES;5888.99;183345072.8;9.295838771;1;10000
10000;PELLCAPPDELTA05;43842.2;3293640.825;9.207416942;0.994795408;3153.2
10000;PELLCAPPDELTA10;48758.455;1125644.875;9.49072382;1.025640611;1688.605
10000;PELLCAPPDELTA15;31682.145;771942.335;9.893950419;1.069066561;1209.53
10000;PELLCAPPDELTA20;24621.755;519234.73;10.44594767;1.128691377;1015.445
10000;PELLCAPPDELTA25;39559.415;591594.865;10.95182413;1.18273388;870.28
10000;PELLCAPPDELTA30;28873.47;560462.65;11.87874082;1.283968971;735.74
10000;PELLCAPPDELTA35;22500.22;507726.91;12.71225339;1.373934769;669.16
10000;PELLCAPPDELTA40;31025.945;463051.215;12.51544316;1.352543069;654.545
10000;CAPPDELTA05;72590.34;3333108.915;9.207416942;0.994795408;3465.815
10000;CAPPDELTA10;81026.86;1253514.915;9.49072382;1.025640611;2032.48
10000;CAPPDELTA15;66737.2;776776.32;9.893950419;1.069066561;1553.405
10000;CAPPDELTA20;51522.035;469829.955;10.44594767;1.128691377;1359.32
10000;CAPPDELTA25;66855.31;594305.38;10.95182413;1.18273388;1214.125
10000;CAPPDELTA30;57873.93;552163.47;11.87874082;1.283968971;1110.845
10000;CAPPDELTA35;48034.965;485762.215;12.71225339;1.373934769;1044.265
10000;CAPPDELTA40;57485.03;448295.95;12.51544316;1.352543069;1029.65
