type;algorithm;update;query;radius;ratio;memory
Rand;CHEN;11075.12;20500798836;1.729321956;1;10000
Orig;CHEN;11540.375;20366815325;1.766669819;1;10000
Rand;CAPP;4196816.955;19883386937;1.729554154;1.000144402;39454.675
Orig;CAPP;3752635.82;18849458991;1.766715901;1.000081887;35906.935
Rand;REALCAPP;4159763.87;19835360905;1.729554154;1.000144402;39334.675
Orig;REALCAPP;3861101.04;18829879645;1.766715901;1.000081887;35786.935
Rand;COHCAPP;4698942.775;19834904518;1.729554154;1.000144402;53529.825
Orig;COHCAPP;4441707.665;18833028204;1.766715901;1.000081887;44065.43
Rand;PELLCAPP;4799705.275;19835049001;1.729554154;1.000144402;53564.47
Orig;PELLCAPP;4282104.39;18832135854;1.766715901;1.000081887;44091.02
Rand;CAPPDELTA05;672071.025;11332653047;1.70184716;0.986414708;11370.565
Orig;CAPPDELTA05;568607.97;2385425589;1.838336785;1.040981333;6648.215
Rand;REALCAPPDELTA05;645613.29;11331790554;1.70184716;0.986414708;11250.565
Orig;REALCAPPDELTA05;462245.02;2385276080;1.838336785;1.040981333;6528.215
Rand;COHCAPPDELTA05;642395.24;11330874961;1.70184716;0.986414708;11224.375
Orig;COHCAPPDELTA05;480504.3;2386118421;1.838336785;1.040981333;6590.055
Rand;PELLCAPPDELTA05;645508.15;11331147444;1.70184716;0.986414708;11259.02
Orig;PELLCAPPDELTA05;482477.805;2386786116;1.838336785;1.040981333;6610.035
Rand;CAPPDELTA10;190898.605;1363275764;1.812808917;1.050607232;4110.485
Orig;CAPPDELTA10;162457.04;520686293;1.813262793;1.026791891;2962.23
Rand;REALCAPPDELTA10;167868.62;1363714943;1.812808917;1.050607232;3990.485
Orig;REALCAPPDELTA10;147906.535;520442153.6;1.813262793;1.026791891;2842.23
Rand;COHCAPPDELTA10;171422.565;1364080333;1.812808917;1.050607232;3903.095
Orig;COHCAPPDELTA10;155979.95;518735962.5;1.813262793;1.026791891;2853.745
Rand;PELLCAPPDELTA10;171917.3;1364146304;1.812808917;1.050607232;3937.67
Orig;PELLCAPPDELTA10;164361.84;520498556.9;1.813262793;1.026791891;2876.05
Rand;CAPPDELTA15;105682.565;336104163.5;1.744256808;1.010968394;2019.84
Orig;CAPPDELTA15;99693.74;160815385.9;1.812814577;1.02653895;1633.565
Rand;REALCAPPDELTA15;96045.4;335856947.6;1.744256808;1.010968394;1899.84
Orig;REALCAPPDELTA15;93040.78;160764639.8;1.812814577;1.02653895;1513.565
Rand;COHCAPPDELTA15;96747.98;335919183.7;1.744256808;1.010968394;1812.38
Orig;COHCAPPDELTA15;102707.22;160485884.6;1.812814577;1.02653895;1527.415
Rand;PELLCAPPDELTA15;103395.725;335993640;1.744256808;1.010968394;1847.025
Orig;PELLCAPPDELTA15;105946.065;160613138.2;1.812814577;1.02653895;1547.395
Rand;CAPPDELTA20;88692.21;137048926.2;1.753148969;1.015994167;1440.66
Orig;CAPPDELTA20;84093.305;64242304.76;1.784115698;1.01019959;1207.26
Rand;REALCAPPDELTA20;82271.83;137024835.7;1.753148969;1.015994167;1320.66
Orig;REALCAPPDELTA20;72647.965;64197487.87;1.784115698;1.01019959;1087.26
Rand;COHCAPPDELTA20;81680.725;137021548.4;1.753148969;1.015994167;1201.93
Orig;COHCAPPDELTA20;84291.545;64042236.82;1.77542642;1.005212167;1071.04
Rand;PELLCAPPDELTA20;86934.31;136988044.9;1.753148969;1.015994167;1267.845
Orig;PELLCAPPDELTA20;91022.705;64213898.34;1.784115698;1.01019959;1121.08
Rand;CAPPVAL;47295.845;2057243.02;1.796414978;1.041177299;331.27
Orig;CAPPVAL;46369.325;679381.77;2.366128386;1.339862874;313.245
Rand;REALCAPPVAL;37872.43;2056395.52;1.796414978;1.041177299;271.27
Orig;REALCAPPVAL;33060.87;666263.91;2.366128386;1.339862874;253.245
Rand;COHCAPPVAL;42640.655;2035316.99;1.796414978;1.041177299;238.195
Orig;COHCAPPVAL;44678.96;643740.015;2.363772175;1.338479408;271.75
Rand;PELLCAPPVAL;46962.405;2044509.33;1.796414978;1.041177299;298.11
Orig;PELLCAPPVAL;52199.9;655512.3;2.366128386;1.339862874;316.8
