type;algorithm;update;query;radius;ratio;memory
Rand;CHEN;10499.46;15689677286;9.404855031;1;10000
Orig;CHEN;10255.305;15228459595;1.403338329;1;10000
Rand;CAPP;865827.03;10079990999;9.691914254;1.035298923;26848.18
Orig;CAPP;1821390.89;7431743532;1.412940298;1.006762808;38100.75
Rand;REALCAPP;769322.145;10073649982;9.691914254;1.035298923;26668.18
Orig;REALCAPP;1814461.145;7411523847;1.412940298;1.006762808;37918.605
Rand;COHCAPP;786331.46;10074382868;9.691914254;1.035298923;26956
Orig;COHCAPP;1755284.64;7409401228;1.412940298;1.006762808;37995.905
Rand;PELLCAPP;798066.25;10079209793;9.691914254;1.035298923;26988.045
Orig;PELLCAPP;1671852.54;7411415397;1.412940298;1.006762808;37999.89
Rand;CAPPDELTA05;111548.045;185551880.9;9.735858809;1.041456347;3465.815
Orig;CAPPDELTA05;278717.76;34198885.92;1.441790889;1.028520715;5455.51
Rand;REALCAPPDELTA05;100161.585;185469820.7;9.735858809;1.041456347;3285.815
Orig;REALCAPPDELTA05;235858.91;34160411.81;1.441790889;1.028520715;5273.365
Rand;COHCAPPDELTA05;110674.025;185548975.9;9.735858809;1.041456347;3121.125
Orig;COHCAPPDELTA05;239282.13;33788452.78;1.424203494;1.015155864;5334.425
Rand;PELLCAPPDELTA05;110314.46;185348749.8;9.735858809;1.041456347;3153.2
Orig;PELLCAPPDELTA05;241083.275;34239238.24;1.441790889;1.028520715;5338.66
Rand;CAPPDELTA10;78815.98;23287516.77;9.810553749;1.049474637;2032.48
Orig;CAPPDELTA10;121059.93;6782646.185;1.413484366;1.009666138;2483.25
Rand;REALCAPPDELTA10;59446.2;23202305.94;9.810553749;1.049474637;1852.48
Orig;REALCAPPDELTA10;95757.215;6764103.765;1.413484366;1.009666138;2301.105
Rand;COHCAPPDELTA10;65989.875;23187806.19;9.810553749;1.049474637;1656.56
Orig;COHCAPPDELTA10;104790.685;6772661.625;1.413484366;1.009666138;2357.5
Rand;PELLCAPPDELTA10;70035.615;23193374.66;9.810553749;1.049474637;1688.605
Orig;PELLCAPPDELTA10;111528.4;6774101.31;1.413484366;1.009666138;2358.405
Rand;CAPPDELTA15;61463.135;6791327.405;10.23490417;1.094773845;1553.405
Orig;CAPPDELTA15;79384.605;2759596.23;1.266121416;0.90064184;1514.395
Rand;REALCAPPDELTA15;50197.95;6776677.855;10.23490417;1.094773845;1373.405
Orig;REALCAPPDELTA15;62137.295;2743042.72;1.266121416;0.90064184;1332.25
Rand;COHCAPPDELTA15;55733.115;6769056.755;10.23490417;1.094773845;1177.455
Orig;COHCAPPDELTA15;75395.01;2728754.85;1.266677811;0.901459508;1388.665
Rand;PELLCAPPDELTA15;60558.77;6771021.425;10.23490417;1.094773845;1209.53
Orig;PELLCAPPDELTA15;77333.44;2773734.75;1.266121416;0.90064184;1389.55
Rand;CAPPDELTA20;60686.455;3890234.915;12.09585991;1.293767149;1359.32
Orig;CAPPDELTA20;65915.495;1576594.8;1.146746654;0.8191327;1095.955
Rand;REALCAPPDELTA20;49222.15;3872483.315;12.09585991;1.293767149;1179.32
Orig;REALCAPPDELTA20;51333.13;1569821.075;1.146746654;0.8191327;913.81
Rand;COHCAPPDELTA20;54063.975;3878028.03;12.09585991;1.293767149;952.14
Orig;COHCAPPDELTA20;63709.51;1571078.095;1.146746654;0.8191327;962.45
Rand;PELLCAPPDELTA20;56311.62;3869364.95;12.09585991;1.293767149;1015.445
Orig;PELLCAPPDELTA20;64461.88;1559291.91;1.146746654;0.8191327;971.11
Rand;CAPPVAL;47930.06;1435427.86;13.54969898;1.448277944;666.305
Orig;CAPPVAL;38618.305;477351.605;1.141656636;0.815496849;364.23
Rand;REALCAPPVAL;35965.13;1426048.95;13.54969898;1.448277944;576.305
Orig;REALCAPPVAL;26465.395;447207;1.141656636;0.815496849;272.115
Rand;COHCAPPVAL;40966.365;1445093.855;13.54969898;1.448277944;478.34
Orig;COHCAPPVAL;39046.545;450754.565;1.118365978;0.798860097;314.465
Rand;PELLCAPPVAL;49100.255;1423540.675;13.54969898;1.448277944;535.87
Orig;PELLCAPPVAL;43213.36;451526.26;1.141656636;0.815496849;319.92
