wsize;algorithm;update;query;radius;ratio;memory
500;CHEN;4368.405;46136699.81;1659.914621;1;500
1000;CHEN;4623.375;180571632.2;1723.64291;1;1000
5000;CHEN;5328.24;4778666159;1772.5824;1;5000
10000;CHEN;9870.76;19866749295;1815.24551;1;10000
20000;CHEN;11195.08;92794133140;1822.930567;1;20000
30000;CHEN;11859.755;4.32491E+11;1830.100037;1;30000
500;PELLCAPP;162126.52;46812225.47;1659.914621;1;4255.61
1000;PELLCAPP;404052.53;184597261.9;1723.64291;1;7511.845
5000;PELLCAPP;1125744.33;4627246706;1827.312788;1.035217023;24549.335
10000;PELLCAPP;3895869.105;19118642516;1872.336237;1.034091275;44455.875
20000;PELLCAPP;8068749.35;92786012356;1876.030858;1.031721535;76466.055
30000;PELLCAPP;12551695.85;3.61212E+11;1871.103327;1.02557754;106406.16
1000;PELLCAPPDELTA05;99887.96;139727076.9;1738.30871;1.012980824;3168.36
5000;PELLCAPPDELTA05;173529.445;938134300.2;1819.409388;1.031467875;4217.55
10000;PELLCAPPDELTA05;393114.165;1369606475;1786.241817;0.987750721;5751.845
20000;PELLCAPPDELTA05;417608.925;1877239275;1845.788924;1.016650536;5551.435
30000;PELLCAPPDELTA05;410097.01;2110282734;1752.16507;0.96145459;5659.1
40000;PELLCAPPDELTA05;330189.02;2111985551;1865.500345;1;5589.175
50000;PELLCAPPDELTA05;176513.27;2334494899;1881.616941;1;5121.84
60000;PELLCAPPDELTA05;335851.375;2357255754;1786.825983;1;6744.785
70000;PELLCAPPDELTA05;345203.34;2424361823;1851.983761;1;6391.675
80000;PELLCAPPDELTA05;496966.01;2479702717;1874.672533;1;7271.16
90000;PELLCAPPDELTA05;361115.405;2592125220;1922.513584;1;6115.24
100000;PELLCAPPDELTA05;248260.67;2683350186;1911.580119;1;5703.795
200000;PELLCAPPDELTA05;368157.04;3001160867;1936.003476;1;6288.855
500000;PELLCAPPDELTA05;645496.7;3179125145;1914.377905;1;7697.975
500;PELLCAPPDELTA10;51049.485;41825040.47;1651.506849;1.001373359;1395.865
1000;PELLCAPPDELTA10;91711.765;28744471.61;1663.67254;0.969870236;1900.61
5000;PELLCAPPDELTA10;85860.135;56533020.34;1769.852398;1.002871721;1859.415
10000;PELLCAPPDELTA10;163040.045;63300425.64;1836.448492;1.015566244;2530.545
20000;PELLCAPPDELTA10;149785.015;75002854;1873.37124;1.031358796;2151.455
30000;PELLCAPPDELTA10;174570.75;76644441.82;1887.254871;1.034899562;2068.255
40000;PELLCAPPDELTA10;147827.38;73033333.78;2169.314907;1.172428135;1975.39
50000;PELLCAPPDELTA10;88570.635;75774545.29;1869.042611;0.998602934;1590.665
60000;PELLCAPPDELTA10;109841.6;74858223.14;1840.627324;1.032627919;2641.165
70000;PELLCAPPDELTA10;133425.155;76756276;1846.321495;0.999615699;2380.1
80000;PELLCAPPDELTA10;210208.605;77201433.34;1813.43717;0.969364219;2920.305
90000;PELLCAPPDELTA10;193974.01;80331351.29;1927.96712;1.008508939;2108.95
100000;PELLCAPPDELTA10;162373.27;81551158.74;1970.18593;1.036260862;1798.85
200000;PELLCAPPDELTA10;158770.405;78842559.67;1787.507979;0.928468188;1985.665
500000;PELLCAPPDELTA10;247314.31;76978649.74;1999.93578;1.049278951;2821.17
500;PELLCAPPDELTA15;50127.605;39994156.06;1658.382248;1.005473726;1120.495
1000;PELLCAPPDELTA15;51864.455;9992509.95;1733.238462;1.009858377;1463.525
5000;PELLCAPPDELTA15;51714.435;10480733.25;1874.969966;1.062369786;1280.535
10000;PELLCAPPDELTA15;98566.84;11647661.29;1793.084166;0.992080754;1818.485
20000;PELLCAPPDELTA15;88994.43;13059372.19;2201.24956;1.21162427;1496.94
30000;PELLCAPPDELTA15;97647.995;13574298.72;1954.077016;1.071488264;1430.08
40000;PELLCAPPDELTA15;119015.475;12714263.39;2014.856953;1.088402462;1316.825
50000;PELLCAPPDELTA15;62915.21;13914423.82;2118.457079;1.131062062;1044.115
60000;PELLCAPPDELTA15;76033.02;13185051.01;1950.879613;1.095434495;1887.275
70000;PELLCAPPDELTA15;82393.7;13895186.72;2007.341228;1.08785609;1651.205
80000;PELLCAPPDELTA15;92244.42;13077647.4;1938.378619;1.037620898;2038.955
90000;PELLCAPPDELTA15;91320.015;14358940.09;2047.94409;1.069890994;1452
100000;PELLCAPPDELTA15;88832.665;13900279.04;1924.236179;1.013555447;1202.98
200000;PELLCAPPDELTA15;107580.74;14507670.4;2332.55125;1.214049478;1385.595
500000;PELLCAPPDELTA15;133945.565;14664354.25;1920.698682;1.008690143;1973.42
500;PELLCAPPDELTA20;38172.79;36240497.89;1656.107717;1.002833965;951.335
1000;PELLCAPPDELTA20;37244.37;5621008.445;1787.929905;1.042426131;1177.575
5000;PELLCAPPDELTA20;41639.585;6109635.135;2131.177113;1.208018425;1070.31
10000;PELLCAPPDELTA20;76476.015;5899688.95;1881.691523;1.041977894;1475.22
20000;PELLCAPPDELTA20;74220.84;6739703.835;2232.796671;1.22904747;1153.645
30000;PELLCAPPDELTA20;80479.63;7105228.1;1795.512065;0.984234717;1215.64
40000;PELLCAPPDELTA20;96689.38;6211920.29;1885.804718;1.017616176;1094.46
50000;PELLCAPPDELTA20;55159.855;6176068.235;2150.955961;1.147512858;866.28
60000;PELLCAPPDELTA20;62512.17;7011707.99;2004.54376;1.125629828;1506.585
70000;PELLCAPPDELTA20;70509.49;7076465.56;1863.736064;1.009487055;1340.51
80000;PELLCAPPDELTA20;70563.135;6753476.15;1911.762351;1.021868094;1520.595
90000;PELLCAPPDELTA20;75816.12;6813698.74;1970.174007;1.030642704;1181.18
100000;PELLCAPPDELTA20;70628.965;6024455.83;2017.11759;1.064010398;978.435
200000;PELLCAPPDELTA20;88028.38;7088169.02;1924.721329;0.99784114;1122.52
500000;PELLCAPPDELTA20;110155.505;6273300.765;2027.6246;1.063153073;1543.7
500;PELLCAPPDELTA25;42917.65;26288010.33;1561.325119;0.940605679;822.32
1000;PELLCAPPDELTA25;43641.165;3737584.085;1724.841929;1.000695631;958.01
5000;PELLCAPPDELTA25;24837.095;3498826.47;2490.583283;1.405059242;912.015
10000;PELLCAPPDELTA25;70905.31;3532922.99;2096.87325;1.155145813;1134.46
20000;PELLCAPPDELTA25;51667.46;4133902.23;2264.961723;1.242483814;972.305
30000;PELLCAPPDELTA25;56715.77;3461517.205;1899.972676;1.038179683;1001.195
40000;PELLCAPPDELTA25;73954.315;3604798.37;1903.808218;1.020534905;920.615
50000;PELLCAPPDELTA25;61972.045;3482916.61;1975.615249;1.049956134;761.405
60000;PELLCAPPDELTA25;72397.895;3643472.415;1944.654508;1.088328985;1187.32
70000;PELLCAPPDELTA25;76113.42;3455293.845;1964.246543;1.060617584;1086.56
80000;PELLCAPPDELTA25;68505.545;3889465.56;2061.153284;1.099473774;1193.67
90000;PELLCAPPDELTA25;72525.185;4561181.66;2128.029622;1.106899655;963.425
100000;PELLCAPPDELTA25;72529.445;4444704.45;2414.288781;1.262980692;847.45
200000;PELLCAPPDELTA25;80758.51;3713792.41;1980.539254;1.023003976;927.625
500000;PELLCAPPDELTA25;96912.75;3700312.63;1901.610395;0.993330727;1182.97
500;PELLCAPPDELTA30;30207.41;17309336.02;1573.436981;0.947902357;684.71
1000;PELLCAPPDELTA30;27650.1;3009735.71;1882.13322;1.09195078;820.135
5000;PELLCAPPDELTA30;27008.27;2733532.78;2321.081807;1.30943521;782.955
10000;PELLCAPPDELTA30;36553.37;2674020.9;2124.655601;1.170450823;918.485
20000;PELLCAPPDELTA30;40317.29;2775537.94;2205.289317;1.209749486;780.655
30000;PELLCAPPDELTA30;52488.165;3090315.435;2045.020806;1.117436623;869.275
40000;PELLCAPPDELTA30;54603.58;3048500.665;2340.310467;1.254521594;785.825
50000;PELLCAPPDELTA30;56083.52;3088710.235;2087.39376;1.109361696;673.82
60000;PELLCAPPDELTA30;62418.745;2980452.175;2495.865729;1.39681522;979.625
