wsize;algorithm;update;query;radius;ratio;memory
500;CHEN;4061.175;32356183.16;3.058984284;1;500
1000;CHEN;4410.07;128129268.8;3.412556591;1;1000
5000;CHEN;3955.505;3600422723;4.891808142;1;5000
10000;CHEN;5344.615;15857026663;6.912918993;1;10000
20000;CHEN;5073.58;66665671038;6.581226682;1;20000
30000;CHEN;5143.455;1.64618E+11;6.634092443;1;30000
500;PELLCAPP;79163.955;32263047.02;3.058984284;1;2893.935
1000;PELLCAPP;99397.62;124767723.2;3.412556591;1;4600.165
5000;PELLCAPP;343611.575;3542515829;4.815169781;0.989691852;17644
10000;PELLCAPP;828837.615;6533492336;7.111590402;1.040550854;31702.505
20000;PELLCAPP;2328755.735;20528347973;6.747493917;1.026886609;59182.62
30000;PELLCAPP;3768750.125;39672210697;6.551465038;0.991144869;85470.39
40000;PELLCAPP;2936794.695;65370772548;6.838961482;1;110037.04
500;PELLCAPPDELTA05;27809.93;2515468.855;3.346831659;1.101585208;771.21
1000;PELLCAPPDELTA05;40399.315;5342692.645;3.767056823;1.110976917;773.115
5000;PELLCAPPDELTA05;59491.98;27082402.25;5.321353643;1.098133369;1096.14
10000;PELLCAPPDELTA05;55599.88;1662079.19;6.165686795;0.903658059;1553.265
20000;PELLCAPPDELTA05;105905.46;2170253.64;6.138485663;0.934249221;1961.265
30000;PELLCAPPDELTA05;153733.09;2282993.87;7.005522802;1.059870273;2676.845
40000;PELLCAPPDELTA05;186579.8;3030324.285;6.573552229;0.961580358;2888.315
50000;PELLCAPPDELTA05;97924.655;3165535.105;9.424873683;1;3243.775
60000;PELLCAPPDELTA05;85651.305;3093676.92;6.590621366;1;1902.96
70000;PELLCAPPDELTA05;108300.055;4287153.585;7.958619358;1;1876.085
80000;PELLCAPPDELTA05;95235.88;4353359.7;7.146697386;1;2526.005
90000;PELLCAPPDELTA05;136006.945;4245653.21;6.51038968;1;2868.295
100000;PELLCAPPDELTA05;122651.995;4940250.115;6.965401399;1;2976.63
200000;PELLCAPPDELTA05;128405.305;7294048.17;8.623536581;1;3025.74
500000;PELLCAPPDELTA05;100552.16;13901504.05;9.82985354;1;1511.04
500;PELLCAPPDELTA10;21936.22;543305.38;2.88920231;0.952632835;417.47
1000;PELLCAPPDELTA10;30106.77;823825.035;3.242376746;0.959288105;409.84
5000;PELLCAPPDELTA10;28607.325;2542049.85;4.44519635;0.918799145;461.345
10000;PELLCAPPDELTA10;35262.44;438950.975;7.125476812;1.04565827;600.23
20000;PELLCAPPDELTA10;38576.825;480828.57;7.225964413;1.099708518;672.095
30000;PELLCAPPDELTA10;42274.24;458716.965;7.719225939;1.167848976;892.28
40000;PELLCAPPDELTA10;62223.875;820462.595;8.029994184;1.174318291;878.51
50000;PELLCAPPDELTA10;26189.82;690884.31;7.292808235;0.77508846;1003.915
60000;PELLCAPPDELTA10;29131.27;755134.335;9.484854072;1.44273873;695.245
70000;PELLCAPPDELTA10;38970.37;860316.7;9.142122906;1.15569208;640.015
80000;PELLCAPPDELTA10;29759.06;713624.125;9.460307751;1.326484381;827.985
90000;PELLCAPPDELTA10;39697.965;751641.93;8.806009748;1.354124171;893.87
100000;PELLCAPPDELTA10;36613.87;864239.5;8.616321987;1.237504847;890.22
200000;PELLCAPPDELTA10;55455.655;1088650.47;8.854475356;1.02971921;884.705
500000;PELLCAPPDELTA10;62129.39;1561320.935;9.706986686;0.997285231;563.875
500;PELLCAPPDELTA15;24913.52;296200.23;3.277814652;1.08175236;270.705
1000;PELLCAPPDELTA15;24377.295;357057.33;3.74458482;1.105798605;300.25
5000;PELLCAPPDELTA15;23779.175;975573.72;4.735908829;0.978602559;329.595
10000;PELLCAPPDELTA15;29132.76;252224.86;7.291946412;1.068987199;395.165
20000;PELLCAPPDELTA15;30545.85;274516.4;7.060052273;1.074446188;419.95
30000;PELLCAPPDELTA15;31949.885;504365.13;8.409064892;1.272048621;494.045
40000;PELLCAPPDELTA15;49354.445;628273.17;8.611534614;1.257524659;498.185
50000;PELLCAPPDELTA15;22443.745;506438.925;7.382001515;0.784937023;563.975
60000;PELLCAPPDELTA15;25884.635;482254.255;8.681586523;1.318714976;428.545
70000;PELLCAPPDELTA15;33596.01;527550.095;9.062796581;1.146355475;447.425
80000;PELLCAPPDELTA15;26478.155;565071.89;9.419049707;1.320925637;523.145
