wsize;algorithm;update;query;radius;ratio;memory
10000;CHEN;9870.76;19866749295;1815.24551;1.01393379;10000
20000;CHEN;11195.08;92794133140;1822.930567;1.00145563;20000
30000;CHEN;11859.755;4.32491E+11;1830.100037;1.00113194;30000
10000;JONES;4367.64;164958297.6;1790.299854;1;10000
20000;JONES;5739.285;992204133.2;1820.280919;1;20000
30000;JONES;12598.275;2939986823;1828.030823;1;30000
40000;JONES;14280.935;6013725733;1831.236143;1;40000
50000;JONES;12968.16;8937517370;1839.729399;1;50000
60000;JONES;14065.85;9898415851;1839.773237;1;60000
70000;JONES;14167.71;12326131598;1844.08216;1;70000
80000;JONES;14430.74;16619841519;1848.175857;1;80000
90000;JONES;13743.76;28056887045;1849.716434;1;90000
100000;JONES;11573.93;31861595001;1851.311953;1;100000
200000;JONES;11554.255;1.60117E+11;1859.407085;1;200000
10000;PELLCAPPDELTA05;100532.185;14223804.26;1817.905933;1.017161674;5751.845
20000;PELLCAPPDELTA05;97184.185;17753255.86;1828.526353;1.006895327;5551.435
30000;PELLCAPPDELTA05;180300.825;19576229.12;1799.691194;0.986540582;5659.1
40000;PELLCAPPDELTA05;172408.045;20778083.25;1790.082187;0.97975012;5589.175
50000;PELLCAPPDELTA05;148828.81;21220467.83;1806.311075;0.983912617;5121.84
60000;PELLCAPPDELTA05;217921.625;21736624.48;1835.77466;0.999921197;6744.785
70000;PELLCAPPDELTA05;241563.02;22289876.48;1879.830743;1.021628829;6391.675
80000;PELLCAPPDELTA05;319345.33;23013822.19;1768.04282;0.958722706;7271.16
90000;PELLCAPPDELTA05;251078.99;23616720.34;1892.017277;1.024964099;6115.24
100000;PELLCAPPDELTA05;221948.56;24072387.88;1810.810489;0.980136145;5703.795
200000;PELLCAPPDELTA05;328855.81;25968537.55;1902.0625;1.025378505;6288.855
500000;PELLCAPPDELTA05;612428,91;28004358,03;1757,489891;1;7697,975;
10000;CAPPDELTA05;256260.0352;15383077.94;1817.858634;1.017161674;5879.326633
20000;CAPPDELTA05;179875.7487;18747138.49;1828.772036;1.006895327;5678.447236
30000;CAPPDELTA05;195857.3166;20493571.85;1799.739372;0.986540582;5783.145729
40000;CAPPDELTA05;196538.1407;21688973.32;1790.092585;0.97975012;5710.738693
50000;CAPPDELTA05;180965.392;21770602.36;1806.572372;0.983912617;5241.879397
60000;CAPPDELTA05;330811.3417;22594568.05;1835.702549;0.999921197;6863.567839
70000;CAPPDELTA05;313027.7739;22826082.05;1879.727265;1.021628829;6523.080402
80000;CAPPDELTA05;385826.7186;23396897.1;1767.809241;0.958722706;7397.924623
90000;CAPPDELTA05;243111.8744;24062391.1;1891.909202;1.024964099;6233.165829
100000;CAPPDELTA05;245399.6985;24436590.63;1810.822747;0.980136145;5822.246231
200000;CAPPDELTA05;308489.7688;26954565.1;1901.424662;1.025378505;6419.477387
500000;CAPPDELTA05;608526.1658;29222204.94;1757.22787;1;7819.959799
