wsize;algorithm;update;query;radius;ratio;memory
10000;JONES;4992,875;191959732,4;9,295838771;1;10000
20000;JONES;4245,31;845915025,5;10,59374162;1;20000
30000;JONES;4230,765;1543157487;10,83346224;1;30000
40000;JONES;3425,61;2779180330;11,51215115;1;40000
50000;JONES;4700,795;4963286766;11,54878009;1;50000
60000;JONES;4609,08;6224438733;11,38351914;1;60000
70000;JONES;4045,33;8654098787;13,30057682;1;70000
80000;JONES;5798,78;11700402056;12,95442194;1;80000
90000;JONES;4631,205;20048928479;12,18725753;1;90000
100000;JONES;5298,605;25562465695;12,63129957;1;100000
200000;JONES;11738,015;1,10E+11;14,35854938;1;200000
10000;PELLCAPPDELTA05;65967,41;3148764,135;9,207416942;0,994795408;3153,2
20000;PELLCAPPDELTA05;43699,25;3699984,56;10,44608303;0,991283571;5677,315
30000;PELLCAPPDELTA05;42040,475;4636067,145;10,84259037;1,005973597;4577,14
40000;PELLCAPPDELTA05;41212,545;5166091,255;11,83518191;1,031018592;5648,1
50000;PELLCAPPDELTA05;51522,375;5800292,205;11,45253643;0,995082749;5805,05
60000;PELLCAPPDELTA05;54988,82;6576119,02;11,33171142;0,99857476;5187,065
70000;PELLCAPPDELTA05;45530,44;6927583,2;12,49506985;0,948296552;4664,335
80000;PELLCAPPDELTA05;63629,62;7558125,97;13,16096699;1,02614871;5814,795
90000;PELLCAPPDELTA05;81672,645;8034269,415;12,47291828;1,032260874;5552,01
100000;PELLCAPPDELTA05;122378,075;8607508,79;11,72000011;0,939214205;6316,335
200000;PELLCAPPDELTA05;118614,73;11657042,75;15,31171471;1,073673106;6649,435
10000;CAPPDELTA05;136191,865;4439496,8;9,207416942;0,994795408;3465,815
20000;CAPPDELTA05;75897,46;4024136,655;10,44608303;0,991283571;5996,745
30000;CAPPDELTA05;198637,305;5056141,915;10,84259037;1,005973597;4904,035
40000;CAPPDELTA05;290880,27;5930521,78;11,83518191;1,031018592;5971,82
50000;CAPPDELTA05;193545,045;6378401,145;11,45253643;0,995082749;6130,385
60000;CAPPDELTA05;178081,82;7111435,2;11,33171142;0,99857476;5505,25
70000;CAPPDELTA05;152339,66;7608596,52;12,49506985;0,948296552;4985,745
80000;CAPPDELTA05;131926,47;8217994,025;13,16096699;1,02614871;6138,365
90000;CAPPDELTA05;201967,395;8836066,52;12,47291828;1,032260874;5885,81
100000;CAPPDELTA05;252653,085;9471466,13;11,72000011;0,939214205;6649,835
200000;CAPPDELTA05;194296,485;12438938,41;15,31171471;1,073673106;6967,875
500000;CAPPDELTA05;258518,31;18908839,75;15,20991829;1;8275,495
