wsize;algorithm;update;query;radius;ratio;memory
500;CHEN;5428.855;34917161.57;7.087654259;1;500
1000;CHEN;4655.145;131097540.3;7.692362906;1;1000
5000;CHEN;6156.16;3885652530;9.815175695;1;5000
10000;CHEN;10499.46;15689677286;9.404855031;1;10000
20000;CHEN;5340.165;71361962424;10.49098539;1;20000
30000;CHEN;5191.395;1.60358E+11;10.7276921;1;30000
500;PELLCAPP;82855.215;34422598.22;6.890336989;0.977394529;3644.835
1000;PELLCAPP;116134.315;134488182.4;7.448667643;0.98025484;6405.68
5000;PELLCAPP;527189.345;2704690546;10.00511233;1.032508178;19317.24
10000;PELLCAPP;798066.25;10079209793;9.691914254;1.035298923;26988.045
20000;PELLCAPP;1960042.29;37664416193;10.29053391;0.98330403;48758.735
30000;PELLCAPP;2342108.95;82136012936;10.3661068;0.971025347;59665.545
40000;PELLCAPP;2047346.26;1.42627E+11;10.65148078;1;74907.81
500;PELLCAPPDELTA05;79527.03;26544677.54;7.015995559;1.001913015;1519.965
1000;PELLCAPPDELTA05;132569.965;85932575.02;8.001746224;1.053579964;2229.35
5000;PELLCAPPDELTA05;104486.94;112555448.8;9.574157887;0.988287456;4066.51
10000;PELLCAPPDELTA05;110314.46;185348749.8;9.735858809;1.041456347;3153.2
20000;PELLCAPPDELTA05;170137.205;294969659.5;10.21813241;0.976429967;5677.315
30000;PELLCAPPDELTA05;180237.495;388947675.2;10.38338485;0.973337219;4577.14
40000;PELLCAPPDELTA05;221522.235;466042161.8;10.58528592;0.995145716;5648.1
50000;PELLCAPPDELTA05;104009.02;551726660.6;11.40856431;1;5805.05
60000;PELLCAPPDELTA05;199479.64;627414621.7;11.64286044;1;5187.065
70000;PELLCAPPDELTA05;153830.055;693240570.1;13.24773373;1;4664.335
80000;PELLCAPPDELTA05;177207.01;731475015.6;14.87502579;1;5814.795
90000;PELLCAPPDELTA05;96766.125;803941395.8;15.10920112;1;5552.01
100000;PELLCAPPDELTA05;123238.855;882774330;14.21754639;1;6316.335
200000;PELLCAPPDELTA05;165764.79;1264288491;14.85982343;1;6649.435
500000;PELLCAPPDELTA05;249412.25;2182195176;16.97706016;1;7963.84
500;PELLCAPPDELTA10;38492.46;20593776.8;6.950819261;0.993216219;1032.685
1000;PELLCAPPDELTA10;50168.845;53094728.7;8.194104383;1.078722157;1393.935
5000;PELLCAPPDELTA10;71029.115;18571646.44;9.701542395;1.002644342;2240.27
10000;PELLCAPPDELTA10;70035.615;23193374.66;9.810553749;1.049474637;1688.605
20000;PELLCAPPDELTA10;67662.275;31105582.2;10.36727995;0.990436262;2751.71
30000;PELLCAPPDELTA10;65500.185;40950972.43;9.916381092;0.929331399;2211.705
40000;PELLCAPPDELTA10;73751.415;44513860.91;11.40874999;1.073906586;2633.755
50000;PELLCAPPDELTA10;86616.32;49175823.91;11.56307158;1.014095082;2747.38
60000;PELLCAPPDELTA10;85576.235;51015251.12;11.10129871;0.95558821;2360.905
70000;PELLCAPPDELTA10;60311.595;56437866.68;15.2032873;1.159761129;2070.4
80000;PELLCAPPDELTA10;66597.82;59506602.57;14.09008134;0.950380191;2595.715
90000;PELLCAPPDELTA10;69245.65;62301900.45;14.25545537;0.945495427;2457.41
100000;PELLCAPPDELTA10;61943.445;65228119.66;15.07362349;1.063783247;2762.33
200000;PELLCAPPDELTA10;76706.335;88573317.28;14.84691757;1.011179452;2775.935
500000;PELLCAPPDELTA10;150097.205;135471015.4;17.29987806;1.022420361;3058.19
500;PELLCAPPDELTA15;35555.86;14646721.47;6.909091289;0.987460959;856.765
1000;PELLCAPPDELTA15;34851.365;29014788.73;8.593187624;1.13690235;1074.13
5000;PELLCAPPDELTA15;46432.45;5967998.625;11.09034624;1.145800638;1531.015
10000;PELLCAPPDELTA15;60558.77;6771021.425;10.23490417;1.094773845;1209.53
20000;PELLCAPPDELTA15;46480.535;9316830.945;10.4162522;0.995267451;1773.975
30000;PELLCAPPDELTA15;49446.295;11174642.31;10.25780855;0.961563912;1500.62
40000;PELLCAPPDELTA15;60134.505;12347757.03;11.10689256;1.045714269;1751.625
50000;PELLCAPPDELTA15;59958.8;14916777.91;12.08681955;1.061537703;1710.13
60000;PELLCAPPDELTA15;63421.335;15475177.11;12.08599361;1.043581535;1556.765
70000;PELLCAPPDELTA15;40068.585;15181809.52;15.10941917;1.163067121;1354.42
80000;PELLCAPPDELTA15;54773.05;16011003.91;13.86080613;0.936116986;1662.09
90000;PELLCAPPDELTA15;46329.475;17643590.51;14.80654013;0.984017594;1613.08
100000;PELLCAPPDELTA15;51040.2;18313936.92;14.14607276;0.996955612;1807.965
200000;PELLCAPPDELTA15;62219.205;23177562.67;15.83646592;1.077114066;1793.225
500000;PELLCAPPDELTA15;84788.2;35729864.31;15.09985477;0.892529436;1929.82
500;PELLCAPPDELTA20;43679.54;9338240.29;7.411411804;1.061237589;705.525
1000;PELLCAPPDELTA20;42591.955;16437557.53;8.008180926;1.055817959;846.885
5000;PELLCAPPDELTA20;40179.975;3565000.75;9.557840452;0.98857455;1184.635
10000;PELLCAPPDELTA20;56311.62;3869364.95;12.09585991;1.293767149;1015.445
20000;PELLCAPPDELTA20;39688.15;4274297.135;12.43513004;1.187525323;1348.145
30000;PELLCAPPDELTA20;40459.84;4346453.525;11.29573017;1.059040759;1113.495
40000;PELLCAPPDELTA20;45674.86;5097738.145;11.75051532;1.10586453;1279.955
50000;PELLCAPPDELTA20;44570.095;5888647.56;12.53113211;1.100153712;1373.015
60000;PELLCAPPDELTA20;40057.02;5921687.045;11.84415516;1.021997881;1161.795
70000;PELLCAPPDELTA20;32740.325;6284255.015;13.8058887;1.054748701;1067.385
80000;PELLCAPPDELTA20;34413.545;6561163.85;13.39863085;0.90375733;1257.82
90000;PELLCAPPDELTA20;32657.795;7187857.01;14.25757697;0.946370839;1202.66
100000;PELLCAPPDELTA20;36554.59;7340151.69;16.43690524;1.158981186;1331.745
200000;PELLCAPPDELTA20;53888.14;8920336.995;15.21878047;1.038841178;1294.365
500000;PELLCAPPDELTA20;72509.88;13130640.2;16.97801141;1.002075638;1361.52
500;PELLCAPPDELTA25;41444.13;8227719.69;7.227594291;1.019744196;635.82
1000;PELLCAPPDELTA25;24428.975;12116192.14;7.480183787;0.972416913;766.545
5000;PELLCAPPDELTA25;42491;2155133.605;12.26459697;1.249554501;958.055
10000;PELLCAPPDELTA25;51744.79;3076827.34;13.06916351;1.389618816;870.28
20000;PELLCAPPDELTA25;52137.895;2756398.465;14.18146894;1.351776637;1028.37
30000;PELLCAPPDELTA25;29206.955;3014863.015;12.60676825;1.175161268;968.68
40000;PELLCAPPDELTA25;54128.02;3527458.2;12.596637;1.182618386;1033.735
50000;PELLCAPPDELTA25;45580.21;3901929.41;14.06109743;1.232503675;1070.905
60000;PELLCAPPDELTA25;39944.875;3664182.35;14.45414244;1.241459736;966.305
70000;PELLCAPPDELTA25;37671.265;4003632.735;15.95456202;1.204323875;889.84
80000;PELLCAPPDELTA25;52385.41;4496876.535;16.16784875;1.086912318;1004.69
90000;PELLCAPPDELTA25;44247.81;4328832.635;14.69556951;0.972623859;989.58
100000;PELLCAPPDELTA25;38677.7;4762629.83;15.63521831;1.099712839;1085.17
200000;PELLCAPPDELTA25;53824.51;6783022.055;16.3971275;1.103453723;1066.72
500000;PELLCAPPDELTA25;68699.97;7076198.75;18.33493306;1.079982806;1117.835
500;PELLCAPPDELTA30;29031.5;5957967.925;7.288090202;1.028279588;534.89
1000;PELLCAPPDELTA30;25539.29;7315262.405;7.762314025;1.00909358;609.39
5000;PELLCAPPDELTA30;24177.065;1355795.9;11.80352301;1.202578881;806.375
10000;PELLCAPPDELTA30;34753.835;1830466.26;13.5365152;1.439311415;735.74
20000;PELLCAPPDELTA30;33441.13;2155360.885;13.23936152;1.261975023;844.99
30000;PELLCAPPDELTA30;22410.33;2086502.815;13.32386143;1.242006324;791.96
40000;PELLCAPPDELTA30;30962.64;2032151.4;14.46708327;1.358222727;889.44
50000;PELLCAPPDELTA30;25496.54;2139359.995;14.54919842;1.27528741;910.74
60000;PELLCAPPDELTA30;29290.735;2912538.95;14.59791998;1.253808723;851.03
70000;PELLCAPPDELTA30;27813.045;3199058.64;19.73073315;1.489366676;758.925
80000;PELLCAPPDELTA30;26373.955;3622462.165;18.25183691;1.227012119;819.715
90000;PELLCAPPDELTA30;32572.84;3781870.005;21.65397661;1.433164893;842.49
100000;PELLCAPPDELTA30;37103.235;3321484.23;17.13810775;1.205419506;927.15
200000;PELLCAPPDELTA30;45347.44;4150446.775;17.9599063;1.208621784;864.09
500000;PELLCAPPDELTA30;61691.125;4769516.115;20.15587029;1.187241496;917.875
500;PELLCAPPDELTA35;25821.96;4863878.545;7.757391613;1.094493514;499.56
1000;PELLCAPPDELTA35;27274.32;6859373.505;7.92135814;1.029769167;586.44
5000;PELLCAPPDELTA35;23337.27;1488302.82;11.05624743;1.126444169;712.13
10000;PELLCAPPDELTA35;34194.6;1522847.03;14.30756312;1.521295445;669.16
20000;PELLCAPPDELTA35;33076.595;1651111.355;16.95770763;1.616407516;758.09
30000;PELLCAPPDELTA35;22034.325;1693328.85;13.17479053;1.228110427;707.88
40000;PELLCAPPDELTA35;30054.36;1477644.455;13.59983395;1.276802186;723.8
50000;PELLCAPPDELTA35;25672.99;1694434.83;13.62916515;1.194643321;731.73
60000;PELLCAPPDELTA35;26657.775;1470030.565;13.98349821;1.201036316;744.545
70000;PELLCAPPDELTA35;25360.33;2023271.765;16.80580363;1.268579515;681.215
80000;PELLCAPPDELTA35;25274;1854892.84;16.78852858;1.12863862;676.765
90000;PELLCAPPDELTA35;31359.355;1895457.41;19.99512283;1.323373927;709.2
